    Run       Local       Local      Local    Local   First-order
   Index     exitflag      f(x)     # iter   F-count   optimality
       1         2        244.7         2        76         655.7
       2         2        12.58        21       448     2.273e+04
       3         2        284.6        18       399         210.3
       4         2        233.3        11       281     4.297e+08
       5         2         24.9        42       882         16.37
       6         2        285.5        16       362          2221
       7         2        276.5         9       221          1118
       8         2        283.2         6       158          6695
       9         2        30.29         6       152     2.228e+04
      10         2        240.9         6       161          2280
      11         2        273.2        13       305         814.9
      12         2        10.18        19       442      3.86e+04
      13         2        3.579        62      1303         283.2
      14         2          271        10       253         65.35
      15         2        4.776        41       874     5.796e+04
      16         2        12.14         7       182          1871
      17         2        5.375        17       396          3464
      18         2        6.317        14       339          1451
      19         2        5.786        39       834          2598
      20         2        285.4         6       155         138.3
      21         2        235.8        12       305     2.595e+08
      22         2        7.524        23       539         518.9
      23         2        7.322        11       260      2.14e+04
      24         2        56.63         9       226     1.298e+04
      25         2        276.3        11       291           737
      26         2        17.51        31       668         92.88
      27         2        4.311        28       639     5.717e+04
      28         2        3.021        68      1445          1838
      29         2         7.17        14       327          7093
      30         2        280.2        62      1237         3.406
      31         2        278.3        13       304         603.4
      32         2        9.059         9       224     3.679e+04
      33         2        4.577        43       905     1.203e+04
      34         2        281.5         6       149         593.3
      35         2        266.7        11       274     1.878e+08
      36         2        10.18         9       220          9369
      37         2        259.8        12       281     1.918e+08
      38         2        17.44        12       292     4.581e+04
      39         2        12.61         5       139          8259
      40         2        7.617        33       733     1.444e+05
      41         2        288.2        10       249         607.1
      42         2        5.511        28       607     2.717e+05
      43         2        9.912        11       266          1630
      44         2        8.015        22       473     5.025e+04
      45         2        283.4        12       275          2572
      46         2        50.73         7       179          2505
      47         2        4.123        31       699     3.308e+04
      48         2        284.5        19       458          2255
      49         2        29.53        19       415     2.813e+04
      50         2          3.4        43       906          1350
      51         2        238.7        24       547     2.255e+08
      52         2        224.9         9       229     3.469e+08
      53         2        8.692        42       888      2.24e+04
      54         2        274.1        25       544          2651
      55         2        227.5         8       210          1873
      56         2        268.4        13       305     3.442e+08
      57         2        238.1        12       292         251.6
      58         2        8.405         8       200     8.884e+04
      59         2        13.24        16       377     2.502e+04
      60         2        243.8         9       227      2.21e+08
      61         2        257.6        15       371     2.161e+08
      62         2        4.103        61      1264          1964
      63         2        284.8        21       473           506
      64         2          6.7        17       372     5.793e+04
      65         2        278.1         8       211     1.517e+08
      66         2        3.011        44       938          8026
      67         2        264.2        17       396          5288
      68         2        289.7         9       219          1034
      69         2        5.738        16       361     4.902e+04
      70         2        280.9        45       908         170.6
      71         2        262.5        13       318          1497
      72         2        246.4        14       338     2.151e+08
      73         2        279.8        35       817         6.978
      74         2        279.3        27       609     1.184e+08
      75         2        280.9        13       288          3410
      76         2        12.01        28       610     1.225e+04
      77         2        284.3         9       214          31.9
      78         2        6.527        25       577     1.868e+04
      79         2        112.7         5       133          3888
      80         2        14.36        28       634          1030
      81         2        291.2         4       111         822.4
      82         2        281.4        20       475         233.9
      83         2        3.898        42       875     1.107e+04
      84         2        4.239        40       873          1264
      85         2        282.7        11       267          2883
      86         2        275.6        14       330      4.21e+08
      87         2        8.714        25       556     1.107e+05
      88         2        267.2        12       285          3049
      89         2        8.551        11       263          3231
      90         2        287.4         9       237         16.61
      91         2        281.4        19       419         699.4
