 Iteration   Func-count     min f(x)         Procedure
     0            1          265.747         
     1           18          71.1941         initial simplex
     2           19          71.1941         reflect
     3           21          59.0598         expand
     4           22          59.0598         reflect
     5           23          59.0598         reflect
     6           25          59.0598         contract inside
     7           27          59.0598         contract inside
     8           29          59.0598         contract inside
     9           31          59.0598         contract inside
    10           33          59.0598         contract inside
    11           35          59.0598         contract inside
    12           37          59.0598         contract inside
    13           38          59.0598         reflect
    14           40          59.0598         contract inside
    15           42          59.0598         contract inside
    16           43          59.0598         reflect
    17           44          59.0598         reflect
    18           45          59.0598         reflect
    19           47          59.0598         contract inside
    20           66          25.5978         shrink
    21           67          25.5978         reflect
    22           68          25.5978         reflect
    23           69          25.5978         reflect
    24           71          25.5978         contract inside
    25           72          25.5978         reflect
    26           73          25.5978         reflect
    27           75          25.5978         contract inside
    28           76          25.5978         reflect
    29           77          25.5978         reflect
    30           78          25.5978         reflect
    31           79          25.5978         reflect
    32           80          25.5978         reflect
    33           82          25.4684         contract inside
    34           83          25.4684         reflect
    35           85          21.3544         contract inside
    36           87          21.3544         contract inside
    37           88          21.3544         reflect
    38           89          21.3544         reflect
    39           90          21.3544         reflect
    40           92          21.3544         contract inside
    41           93          21.3544         reflect
    42           94          21.3544         reflect
    43           96          21.3544         contract outside
    44           97          21.3544         reflect
    45           98          21.3544         reflect
    46          100          21.3544         contract inside
    47          102          21.3544         contract inside
    48          104          21.3544         contract inside
    49          106          21.3544         contract inside
    50          108          21.3544         contract inside
    51          110          21.3544         contract outside
    52          111          21.3544         reflect
    53          113          13.5761         expand
    54          115          13.5761         contract inside
    55          117          13.5761         contract inside
    56          119          13.5761         contract inside
    57          121          13.5761         contract inside
    58          123          13.5761         contract inside
    59          124          13.5761         reflect
    60          125          13.5761         reflect
    61          127          13.5761         contract inside
    62          128          13.5761         reflect
    63          129          13.5761         reflect
    64          130          13.5761         reflect
    65          132          13.5761         contract inside
    66          133          13.5761         reflect
    67          135          7.06157         expand
    68          136          7.06157         reflect
    69          137          7.06157         reflect
    70          139          7.06157         contract inside
    71          140          7.06157         reflect
    72          141          7.06157         reflect
    73          142          7.06157         reflect
    74          143          7.06157         reflect
    75          144          7.06157         reflect
    76          145          7.06157         reflect
    77          147          7.06157         contract outside
    78          148          7.06157         reflect
    79          149          7.06157         reflect
    80          151          7.06157         contract inside
    81          153          7.06157         contract inside
    82          154          7.06157         reflect
    83          155          7.06157         reflect
    84          156          7.06157         reflect
    85          157          7.06157         reflect
    86          159          7.06157         contract inside
    87          160          7.06157         reflect
    88          161          7.06157         reflect
    89          162          7.06157         reflect
    90          164          7.06157         contract inside
    91          165          7.06157         reflect
    92          166          7.06157         reflect
    93          168          7.06157         contract inside
    94          170          7.06157         contract inside
    95          172          7.06157         contract outside
    96          174          7.06157         contract inside
    97          175          7.06157         reflect
    98          177          7.06157         contract inside
    99          179          7.06157         contract inside
   100          181          7.06157         contract inside
   101          183          7.06157         contract inside
   102          185          7.06157         contract inside
   103          187          7.06157         contract outside
   104          189          7.06157         contract inside
   105          191          7.06157         contract inside
   106          192          7.06157         reflect
   107          194          7.06157         contract inside
   108          196          7.06157         contract inside
   109          198          7.06157         contract inside
   110          200          7.06157         contract inside
   111          201          7.06157         reflect
   112          203          7.06157         contract inside
   113          205          7.06157         contract outside
   114          207          7.06157         contract inside
   115          209          7.06157         contract inside
   116          210          7.06157         reflect
   117          211          7.06157         reflect
   118          213          7.06157         contract inside
   119          215          7.06157         contract inside
   120          217          7.04144         contract inside
   121          219          7.04144         contract inside
   122          221          7.03027         contract inside
   123          223          6.94997         contract inside
   124          224          6.94997         reflect
   125          226          6.94997         contract inside
   126          227          6.94997         reflect
   127          228          6.94997         reflect
   128          229          6.94997         reflect
   129          230          6.94997         reflect
   130          232          6.91808         contract inside
   131          234          6.89362         contract inside
   132          235          6.89362         reflect
   133          236          6.89362         reflect
   134          238          6.85355         contract inside
   135          240          6.85355         contract inside
   136          241          6.85355         reflect
   137          243          6.81685         contract outside
   138          245          6.75494         contract inside
   139          247          6.75494         contract outside
   140          249          6.75494         contract inside
   141          251          6.75494         contract inside
   142          253          6.72042         contract inside
   143          255          6.68163         contract inside
   144          256          6.68163         reflect
   145          258          6.51167         reflect
   146          259          6.51167         reflect
   147          261          6.51167         contract inside
   148          263          6.51167         contract inside
   149          264          6.51167         reflect
   150          266          6.51167         contract inside
   151          268          6.51167         contract inside
   152          269          6.51167         reflect
   153          270          6.51167         reflect
   154          272          6.24854         expand
   155          273          6.24854         reflect
   156          274          6.24854         reflect
   157          275          6.24854         reflect
   158          276          6.24854         reflect
   159          277          6.24854         reflect
   160          279          6.24854         contract inside
   161          280          6.24854         reflect
   162          281          6.24854         reflect
   163          282          6.24854         reflect
   164          284          6.24854         contract inside
   165          285          6.24854         reflect
