Multi-objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverintermediate
SelectionFcn:      @selectiontournament
MutationFcn:       @mutationadaptfeasible

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
    1           200                 1                 1
    2           400        0.00399667                 1
    3           600        0.00133718          0.990071
    4           800        0.00105726          0.893675
    5          1000       0.000990355          0.800234
    6          1200       0.000891861          0.742316
    7          1400        0.00126038          0.980853
    8          1600        0.00113815          0.764455
    9          1800        0.00116367          0.946551
   10          2000        0.00114408          0.977564
   11          2200        0.00112686          0.993946
   12          2400         0.0011233          0.980833
   13          2600       0.000473162          0.979294
   14          2800       0.000499203          0.536262
   15          3000       0.000490838          0.732693
   16          3200       0.000486332          0.559862
   17          3400       0.000518043          0.611697
   18          3600       0.000510804          0.625472
   19          3800       0.000511185          0.647435
   20          4000       0.000509168          0.614439
   21          4200       0.000510191          0.618366
   22          4400       0.000508549          0.618851
   23          4600       0.000511274          0.614288
   24          4800        0.00053962          0.629319
   25          5000       0.000536207          0.685315
   26          5200       0.000529203          0.721799
   27          5400       0.000534157          0.683149
   28          5600       0.000537205           0.70259
   29          5800       0.000533886           0.67348
   30          6000       0.000535759          0.653896

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
   31          6200       0.000531291          0.626595
   32          6400       0.000529218          0.633774
   33          6600       0.000528524           0.67049
   34          6800       0.000528239          0.654139
   35          7000       0.000526983          0.661763
   36          7200       0.000478897          0.631939
   37          7400       0.000478833          0.630947
   38          7600       0.000475043          0.591838
   39          7800        0.00047659          0.598223
   40          8000       0.000475632          0.595626
   41          8200       0.000476345          0.612641
   42          8400       0.000475217          0.571441
   43          8600       0.000476518          0.592745
   44          8800       0.000477148           0.60835
   45          9000       0.000479343          0.634239
   46          9200       9.29731e-05          0.967756
   47          9400       9.25522e-05          0.143869
   48          9600       7.97905e-05          0.131511
   49          9800        8.7942e-05          0.140947
   50         10000       0.000125612          0.198934
   51         10200       0.000112646          0.171153
   52         10400       0.000138074          0.203949
   53         10600       0.000134722          0.217655
   54         10800       0.000132358          0.500536
   55         11000        0.00013315          0.203516
   56         11200       0.000144375          0.211741
   57         11400       0.000132094          0.204426
   58         11600       0.000129687          0.202579
   59         11800       0.000122657            0.1902
   60         12000        0.00012691          0.192698

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
   61         12200       0.000116513          0.173473
   62         12400       0.000134231          0.215877
   63         12600       0.000111755          0.357974
   64         12800       0.000100176          0.184177
   65         13000       0.000446334          0.976428
   66         13200       0.000451238          0.568581
   67         13400       0.000453013          0.581815
   68         13600       0.000453505          0.583566
   69         13800       0.000454137          0.576876
   70         14000        0.00045318           0.57206
   71         14200       0.000448727          0.563071
   72         14400       0.000451719          0.575563
   73         14600        0.00045041          0.561407
   74         14800       0.000447059          0.545938
   75         15000       0.000446658          0.562779
   76         15200       0.000447867            0.5396
   77         15400       0.000477403           0.58177
   78         15600       0.000473735          0.583799
   79         15800       0.000469408          0.599233
   80         16000       0.000467271          0.560797
   81         16200       0.000469991           0.56983
   82         16400       0.000467807          0.583947
   83         16600       0.000472386          0.584049
   84         16800       0.000469599          0.585926
   85         17000       0.000463933          0.566433
   86         17200       0.000468399          0.544275
   87         17400       0.000471124          0.537017
   88         17600       0.000485703          0.542904
   89         17800       0.000487181          0.549033
   90         18000       0.000487787          0.554709

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
   91         18200       0.000494585          0.551624
   92         18400       0.000496576          0.559515
   93         18600       0.000491314          0.542003
   94         18800       0.000489863           0.54016
   95         19000       0.000490854          0.539506
   96         19200       0.000493811             0.543
   97         19400       0.000492258          0.519711
   98         19600       0.000562753          0.505461
   99         19800       0.000535439           0.50624
  100         20000       0.000554329          0.524099
  101         20200       0.000551633          0.547628
  102         20400       0.000549723          0.545731
  103         20600       0.000526854          0.547935
  104         20800       0.000520564          0.549916
  105         21000       0.000547344          0.578205
  106         21200        0.00054639          0.577539
  107         21400        0.00053017          0.560325
  108         21600       0.000526982          0.548386
  109         21800       0.000525603          0.555976
  110         22000       0.000529567          0.526027
  111         22200       0.000521097          0.542262
  112         22400       0.000517116          0.546273
  113         22600       0.000525319          0.554939
  114         22800       0.000523999          0.555409
  115         23000       0.000536395          0.531734
  116         23200       0.000527012          0.547311
  117         23400       0.000511536          0.539288
  118         23600       0.000510669          0.538373
  119         23800       0.000506368          0.543059
  120         24000       0.000499052          0.528096

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  121         24200       0.000491014            0.5197
  122         24400       0.000485695          0.513512
  123         24600       0.000465731          0.496859
  124         24800       0.000461944          0.491156
  125         25000       0.000461546          0.490198
  126         25200       0.000503052          0.470485
  127         25400       0.000498115          0.465867
  128         25600       0.000284206          0.294812
  129         25800       0.000268336          0.296907
  130         26000       0.000256017           0.29632
  131         26200       0.000264042          0.310238
  132         26400       0.000260407          0.310534
  133         26600       0.000268655           0.31865
  134         26800       0.000257346          0.305237
  135         27000       0.000234632          0.278896
  136         27200       0.000221627          0.780679
  137         27400       0.000222142          0.293367
  138         27600        0.00021731          0.295683
  139         27800       0.000206933          0.283098
  140         28000       0.000205694          0.275762
  141         28200       0.000199514          0.272129
  142         28400       0.000198054          0.270986
  143         28600       0.000199571          0.271546
  144         28800       0.000198621          0.271413
  145         29000       0.000182966          0.252496
  146         29200       0.000178591          0.246854
  147         29400       0.000188454          0.415354
  148         29600       0.000193548          0.602811
  149         29800       0.000199403          0.261018
  150         30000       0.000202151          0.266184

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  151         30200       0.000222217          0.285063
  152         30400       0.000216787          0.353136
  153         30600       0.000208234          0.272661
  154         30800       0.000215027          0.281882
  155         31000       0.000214181          0.277807
  156         31200       0.000210519          0.272127
  157         31400       0.000208468          0.271537
  158         31600       0.000198391          0.256363
  159         31800       0.000208949          0.267843
  160         32000       0.000209773          0.268899
  161         32200        0.00037542          0.885428
  162         32400       0.000370276           0.42215
  163         32600        0.00048495          0.504788
  164         32800       0.000416205          0.455361
  165         33000       0.000634456           0.63259
  166         33200       0.000625477          0.643436
  167         33400       0.000678405          0.622726
  168         33600       0.000690505          0.611977
  169         33800       0.000781661          0.606171
  170         34000        0.00072772          0.595637
  171         34200       0.000908774          0.715759
  172         34400       0.000932212          0.763012
  173         34600       0.000773356          0.663364
  174         34800       0.000762817          0.679984
  175         35000       0.000748567          0.705052
  176         35200       0.000717811          0.736448
  177         35400       0.000746232          0.690302
  178         35600       0.000738009           0.70752
  179         35800       0.000686207          0.637257
  180         36000       0.000677555          0.650552

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  181         36200       0.000674945          0.648046
  182         36400       0.000667316          0.651224
  183         36600       0.000641201          0.595461
  184         36800       0.000629849          0.614661
  185         37000       0.000621016           0.64514
  186         37200       0.000627783          0.968309
  187         37400       0.000624345          0.638772
  188         37600       0.000488588          0.506186
  189         37800       0.000496449          0.506293
  190         38000       0.000407131          0.706524
  191         38200       0.000370333          0.417291
  192         38400       0.000354354          0.400091
  193         38600       0.000333677          0.378613
  194         38800       0.000345725          0.383748
  195         39000       0.000335898          0.378489
  196         39200       0.000317187          0.360996
  197         39400       0.000356155          0.415413
  198         39600       0.000355615          0.412294
  199         39800       0.000356853          0.411175
  200         40000        0.00023286          0.697225
  201         40200       0.000234705          0.285513
  202         40400       0.000229278          0.277233
  203         40600       0.000229522          0.278176
  204         40800       0.000229135          0.279629
  205         41000       0.000234524          0.280267
  206         41200       0.000241857          0.280813
  207         41400       0.000304876          0.359428
  208         41600       0.000241556          0.288816
  209         41800       0.000311936          0.328748
  210         42000        0.00031847          0.364077

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  211         42200       0.000311782           0.36757
  212         42400       0.000289333          0.349067
  213         42600       0.000385661          0.829852
  214         42800       0.000386336          0.407567
  215         43000        0.00038038          0.406777
  216         43200       0.000408619          0.418177
  217         43400       0.000409306          0.415841
  218         43600        0.00049934          0.489659
  219         43800       0.000500939          0.491227
  220         44000       0.000499389          0.500916
  221         44200       0.000498118          0.501136
  222         44400       0.000500032          0.499422
  223         44600       0.000500402          0.500931
  224         44800       0.000381745          0.403725
  225         45000       0.000378749          0.393776
  226         45200       0.000341928          0.357255
  227         45400       0.000342317          0.353091
  228         45600        0.00036186          0.356635
  229         45800       0.000353359          0.352015
  230         46000       0.000366735          0.367852
