Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              400           2.658           23.07        0
    2              590           2.658           33.08        1
    3              780           2.658            37.3        0
    4              970           2.658           26.24        1
    5             1160           2.658           27.99        2
    6             1350           2.658           23.35        3
    7             1540           2.658           21.62        4
    8             1730           2.658           13.56        5
    9             1920           2.658            14.2        6
   10             2110           2.658           8.789        7
   11             2300           2.658           6.826        8
   12             2490           2.658           5.731        9
   13             2680           2.658           4.216       10
   14             2870           2.658           3.679        0
   15             3060           2.658            3.13        1
   16             3250           2.658           2.887        0
   17             3440           2.658           2.831        1
   18             3630           2.657           2.804        0
   19             3820           2.657           2.802        1
   20             4010           2.657           2.755        0
   21             4200           2.657           2.774        0
   22             4390           2.657           2.955        0
   23             4580           2.657           3.647        0
   24             4770           2.657           4.657        1
   25             4960           2.657           4.198        0
   26             5150           2.657           5.407        0
   27             5340           2.657           7.103        1
   28             5530           2.657           7.102        2
   29             5720           2.657           6.276        3
   30             5910           2.657           3.917        4

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             6100           2.657           3.493        5
   32             6290           2.657           3.167        6
   33             6480           2.657           2.809        0
   34             6670           2.656           2.766        0
   35             6860           2.656           2.783        0
   36             7050           2.656           3.047        1
   37             7240           2.656           3.085        0
   38             7430           2.656           3.169        1
   39             7620           2.656           3.015        2
   40             7810           2.656           2.886        0
   41             8000           2.656           2.892        0
   42             8190           2.656           2.948        0
   43             8380           2.656           3.292        0
   44             8570           2.656           4.514        1
   45             8760           2.656           4.313        2
   46             8950           2.656           3.867        3
   47             9140           2.656           3.292        4
   48             9330           2.656           2.958        0
   49             9520           2.656           2.844        0
   50             9710           2.656           3.014        0
   51             9900           2.656           3.309        1
   52            10090           2.656           3.145        2
   53            10280           2.656           2.994        0
   54            10470           2.656           3.176        0
   55            10660           2.656           3.381        1
   56            10850           2.656           3.315        0
   57            11040           2.656           3.733        0
   58            11230           2.656             4.9        0
   59            11420           2.656           8.179        1
   60            11610           2.655           6.445        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            11800           2.655           7.306        0
   62            11990           2.655           9.409        0
   63            12180           2.655           14.06        1
   64            12370           2.655           14.49        2
   65            12560           2.655           15.06        3
   66            12750           2.655           9.586        4
   67            12940           2.655           6.995        5
   68            13130           2.655           4.281        6
   69            13320           2.655           3.699        7
   70            13510           2.655               3        0
   71            13700           2.655           2.997        1
   72            13890           2.655           2.755        0
   73            14080           2.655           2.798        0
   74            14270           2.655           2.906        1
   75            14460           2.655           2.892        0
   76            14650           2.655           2.979        0
   77            14840           2.655           3.493        1
   78            15030           2.655           3.329        0
   79            15220           2.655           3.814        1
   80            15410           2.655           3.632        2
   81            15600           2.655           3.246        3
   82            15790           2.655           3.027        0
   83            15980           2.655            2.99        0
   84            16170           2.655           3.008        0
   85            16360           2.655           3.474        1
   86            16550           2.655           3.297        2
   87            16740           2.655           3.138        0
   88            16930           2.655           3.149        0
   89            17120           2.655           3.338        1
   90            17310           2.655           3.377        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            17500           2.655           3.571        0
   92            17690           2.655           4.089        0
   93            17880           2.655           7.845        1
   94            18070           2.655           8.415        2
   95            18260           2.655           4.563        0
   96            18450           2.655           4.988        1
   97            18640           2.655           4.382        0
   98            18830           2.655           4.581        1
   99            19020           2.655           4.224        2
  100            19210           2.655           4.014        3
  101            19400           2.655           3.315        0
  102            19590           2.653             3.3        0
  103            19780           2.653           3.582        1
  104            19970           2.653           3.413        2
  105            20160           2.653           3.277        3
  106            20350           2.653           3.035        4
  107            20540           2.653            2.95        5
  108            20730           2.653           2.889        6
  109            20920           2.653           2.747        7
  110            21110           2.653           2.675        0
  111            21300           2.653           2.674        0
  112            21490           2.653           2.676        1
  113            21680           2.653           2.669        0
  114            21870           2.653           2.669        1
  115            22060           2.653           2.664        0
  116            22250           2.653           2.669        0
  117            22440           2.653            2.69        0
  118            22630           2.653            2.76        1
  119            22820           2.653           2.738        2
  120            23010           2.653           2.711        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            23200           2.653           2.716        0
  122            23390           2.653           2.774        1
  123            23580           2.653           2.761        2
  124            23770           2.653           2.729        0
  125            23960           2.652           2.721        0
  126            24150           2.652            2.82        0
  127            24340           2.652           3.144        1
  128            24530           2.652            3.05        2
  129            24720           2.652           2.911        3
  130            24910           2.652           2.829        0
  131            25100           2.652           2.791        1
  132            25290           2.652           2.736        0
  133            25480           2.652           2.755        0
  134            25670           2.651           2.795        0
  135            25860           2.651           3.094        0
  136            26050           2.651           3.502        0
  137            26240            2.65           4.019        0
  138            26430            2.65           6.075        1
  139            26620            2.65           5.666        0
  140            26810            2.65           8.426        0
  141            27000            2.65           12.37        1
  142            27190            2.65           13.91        0
  143            27380            2.65           13.89        1
  144            27570           2.649           11.23        0
  145            27760           2.649           13.68        0
  146            27950           2.649           15.11        0
  147            28140           2.649            16.7        0
  148            28330           2.649           25.75        0
  149            28520           2.649           24.47        1
  150            28710           2.649           30.61        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            28900           2.649           28.67        0
  152            29090           2.649           37.65        1
  153            29280           2.649           31.03        2
  154            29470           2.649            24.1        3
  155            29660           2.649           22.28        4
  156            29850           2.649           18.44        5
  157            30040           2.649           13.86        6
  158            30230           2.649           11.89        7
  159            30420           2.649           8.588        0
  160            30610           2.649           6.606        1
  161            30800           2.649           6.298        2
  162            30990           2.649           5.054        3
  163            31180           2.649           3.761        4
  164            31370           2.648           3.397        0
  165            31560           2.648           3.161        1
  166            31750           2.648            2.84        2
  167            31940           2.648           2.786        3
  168            32130           2.648           2.741        0
  169            32320           2.648           2.701        0
  170            32510           2.648           2.712        1
  171            32700           2.648           2.697        0
  172            32890           2.648             2.7        0
  173            33080           2.648           2.732        0
  174            33270           2.648           2.912        1
  175            33460           2.648           2.934        2
  176            33650           2.648             2.8        0
  177            33840           2.648           2.807        0
  178            34030           2.648           2.947        1
  179            34220           2.647           2.846        0
  180            34410           2.647           3.049        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  181            34600           2.647           2.988        2
  182            34790           2.647           2.893        0
  183            34980           2.647           2.858        1
  184            35170           2.647           2.786        2
  185            35360           2.647           2.711        0
  186            35550           2.647           2.727        0
  187            35740           2.647           2.812        0
  188            35930           2.647           2.888        0
  189            36120           2.647           3.541        0
  190            36310           2.647           4.375        1
  191            36500           2.647           4.398        0
  192            36690           2.647           4.774        0
  193            36880           2.647            8.79        0
  194            37070           2.647           11.25        0
  195            37260           2.643           14.23        0
  196            37450           2.643           17.49        0
  197            37640           2.643           23.49        0
  198            37830           2.643           31.49        0
  199            38020           2.643            33.2        1
  200            38210           2.643           30.69        0
  201            38400           2.643           30.63        0
  202            38590           2.643           27.25        0
  203            38780           2.643           25.53        1
  204            38970           2.643           29.48        2
  205            39160           2.643           19.42        3
  206            39350           2.643           23.88        4
  207            39540           2.643           19.57        5
  208            39730           2.643            15.2        6
  209            39920           2.643           11.08        7
  210            40110           2.643           7.629        8

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  211            40300           2.643           5.835        9
  212            40490           2.643           4.798        0
  213            40680           2.643           4.561        0
  214            40870           2.643           4.236        0
  215            41060           2.643           4.589        0
  216            41250           2.643           7.815        1
  217            41440           2.643           7.199        2
  218            41630           2.643           5.197        3
  219            41820           2.643           4.263        4
  220            42010           2.643           3.427        5
  221            42200           2.643           3.266        6
  222            42390           2.643           3.033        0
  223            42580           2.643           2.885        0
  224            42770           2.643           2.903        0
  225            42960           2.643           2.995        0
  226            43150           2.643           3.162        0
  227            43340           2.643           4.349        1
  228            43530           2.643           3.943        0
  229            43720           2.643           4.537        1
  230            43910           2.643           4.469        0
  231            44100           2.643           4.703        1
  232            44290           2.643           4.427        2
  233            44480           2.642           3.708        0
  234            44670           2.642           3.663        1
  235            44860           2.642           3.355        0
  236            45050           2.642           3.747        1
  237            45240           2.642           3.561        2
  238            45430           2.642           3.221        0
  239            45620           2.642           3.169        0
  240            45810           2.642           3.439        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  241            46000           2.642           3.382        0
  242            46190           2.642           3.804        1
  243            46380           2.642           3.565        2
  244            46570           2.641           3.066        0
  245            46760           2.641           3.099        1
  246            46950           2.641           2.955        0
  247            47140           2.641           3.072        0
  248            47330           2.641            3.61        1
  249            47520           2.641           3.267        2
  250            47710           2.641           3.112        0
  251            47900           2.641           3.075        0
  252            48090           2.641           3.278        0
  253            48280           2.641           4.608        0
  254            48470           2.641           6.328        1
  255            48660           2.641            5.51        0
  256            48850           2.641           6.668        0
  257            49040           2.641           8.584        0
  258            49230           2.641           13.11        0
  259            49420           2.641           15.62        0
  260            49610           2.641           21.46        0
  261            49800           2.641            23.8        0
  262            49990           2.641           25.17        0
  263            50180           2.641           24.16        1
  264            50370           2.641           25.84        2
  265            50560           2.641           24.53        0
  266            50750           2.641           21.42        1
  267            50940           2.641            19.4        2
  268            51130           2.641           16.29        3
  269            51320           2.641           12.77        4
  270            51510           2.641            10.6        5

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  271            51700           2.641           8.518        6
  272            51890           2.641           5.963        7
  273            52080           2.641           4.637        8
  274            52270           2.641           3.567        9
  275            52460           2.641           3.043        0
  276            52650           2.641           2.964        1
  277            52840           2.641           2.838        0
  278            53030           2.641           2.861        0
  279            53220            2.64           3.066        0
  280            53410            2.64           3.331        1
  281            53600            2.64           3.395        0
  282            53790            2.64           4.024        1
  283            53980            2.64           3.619        0
  284            54170            2.64           3.919        1
  285            54360           2.639             3.5        0
  286            54550           2.639           3.888        1
  287            54740           2.639           3.572        2
  288            54930           2.639             3.2        3
  289            55120           2.639           2.941        0
  290            55310           2.639           2.857        1
  291            55500           2.639           2.822        0
  292            55690           2.639           2.867        1
  293            55880           2.639           2.816        2
  294            56070           2.639           2.727        0
  295            56260           2.639           2.712        1
  296            56450           2.639           2.686        0
  297            56640           2.639           2.697        1
  298            56830           2.639           2.685        0
  299            57020           2.639           2.699        0
  300            57210           2.639           2.784        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  301            57400           2.639           2.981        0
  302            57590           2.639           3.428        1
  303            57780           2.639           3.302        0
  304            57970           2.639           3.533        1
  305            58160           2.639           3.451        0
  306            58350           2.639           3.691        1
