Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              400           2.793           22.04        0
    2              590           2.793           20.91        0
    3              780           2.793           27.66        1
    4              970           2.793           32.53        0
    5             1160           2.793           32.46        1
    6             1350           2.793           24.09        0
    7             1540           2.793           27.22        0
    8             1730           2.793           31.76        1
    9             1920           2.793           29.87        2
   10             2110           2.793           23.14        3
   11             2300           2.793           21.01        4
   12             2490           2.793           14.44        5
   13             2680           2.793           12.38        6
   14             2870           2.793           9.016        7
   15             3060           2.793           6.134        8
   16             3250           2.793           4.716        9
   17             3440           2.793            4.09       10
   18             3630           2.793           3.701       11
   19             3820           2.792           3.404        0
   20             4010           2.792           3.274        0
   21             4200           2.791           2.971        0
   22             4390           2.791           3.249        0
   23             4580           2.791           3.658        1
   24             4770           2.791           3.607        0
   25             4960            2.79           3.924        0
   26             5150            2.79           4.528        1
   27             5340            2.79           3.905        0
   28             5530            2.79           5.028        0
   29             5720           2.789           8.135        0
   30             5910           2.789           11.74        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             6100           2.789           13.92        1
   32             6290           2.789           11.15        2
   33             6480           2.789           10.07        0
   34             6670           2.789           13.47        0
   35             6860           2.789           15.95        0
   36             7050           2.789           16.27        0
   37             7240           2.789            19.1        1
   38             7430           2.789           17.92        2
   39             7620           2.789           15.94        0
   40             7810           2.789           17.72        1
   41             8000           2.789           16.67        2
   42             8190           2.789           18.58        3
   43             8380           2.789           12.31        4
   44             8570           2.789           8.608        0
   45             8760           2.789           12.35        0
   46             8950           2.789           12.81        1
   47             9140           2.789           10.35        0
   48             9330           2.789           13.54        1
   49             9520           2.789           11.12        2
   50             9710           2.789            6.76        3
   51             9900           2.789           5.905        4
   52            10090           2.789           4.401        5
   53            10280           2.789           3.916        6
   54            10470           2.788           3.327        0
   55            10660           2.788           3.324        1
   56            10850           2.788           3.164        0
   57            11040           2.788           3.071        1
   58            11230           2.788           3.039        2
   59            11420           2.788           2.939        0
   60            11610           2.788           2.892        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            11800           2.787           2.837        0
   62            11990           2.787            2.84        1
   63            12180           2.787           2.837        0
   64            12370           2.787           2.836        0
   65            12560           2.787            2.94        1
   66            12750           2.787           2.881        0
   67            12940           2.786           2.897        0
   68            13130           2.786           3.163        1
   69            13320           2.786           3.109        0
   70            13510           2.786           3.243        1
   71            13700           2.786           3.139        0
   72            13890           2.785           3.288        0
   73            14080           2.785           4.043        0
   74            14270           2.785           4.737        1
   75            14460           2.785           4.396        0
   76            14650           2.785           4.594        1
   77            14840           2.785            4.54        2
   78            15030           2.784           4.087        0
   79            15220           2.783           4.004        0
   80            15410           2.783           5.117        1
   81            15600           2.783           5.113        0
   82            15790           2.783           5.348        0
   83            15980           2.783           6.496        0
   84            16170           2.783           10.36        1
   85            16360           2.783           10.39        2
   86            16550           2.783           8.512        0
   87            16740           2.783           8.567        0
   88            16930           2.783           9.783        1
   89            17120           2.783           10.76        2
   90            17310           2.783           9.309        3

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            17500           2.783           6.716        4
   92            17690           2.783           5.361        0
   93            17880           2.783           5.224        1
   94            18070           2.783           3.937        0
   95            18260           2.783           4.196        0
   96            18450           2.783           5.692        1
   97            18640           2.783           4.783        2
   98            18830           2.783           4.286        3
   99            19020           2.782           3.535        0
  100            19210           2.782           3.479        0
  101            19400           2.782           3.774        1
  102            19590           2.782           3.436        0
  103            19780           2.782           3.866        0
  104            19970           2.782           4.778        1
  105            20160           2.782            4.48        2
  106            20350           2.782           3.641        3
  107            20540           2.782           3.344        0
  108            20730           2.782           3.322        1
  109            20920           2.782           3.192        0
  110            21110           2.782           3.377        0
  111            21300           2.781           3.472        0
  112            21490           2.773           4.966        0
  113            21680           2.773           7.992        1
  114            21870           2.773           6.701        2
  115            22060           2.773           4.836        3
  116            22250           2.773           4.563        4
  117            22440           2.772           3.644        0
  118            22630           2.772           3.608        1
  119            22820           2.772           3.303        0
  120            23010            2.77           3.349        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            23200           2.766           3.718        0
  122            23390           2.766           4.688        0
  123            23580           2.766           5.697        1
  124            23770           2.766           5.877        0
  125            23960           2.765            6.46        0
  126            24150           2.765           11.66        0
  127            24340           2.765            12.1        1
  128            24530           2.765           16.62        2
  129            24720           2.765           11.86        3
  130            24910           2.765            7.57        0
  131            25100           2.765           9.592        0
  132            25290           2.765            13.1        1
  133            25480           2.762           10.44        0
  134            25670           2.761           10.68        0
  135            25860           2.761           13.17        0
  136            26050           2.761           13.42        1
  137            26240           2.761           17.66        0
  138            26430           2.761           20.63        1
  139            26620           2.761           16.04        2
  140            26810           2.761           14.13        3
  141            27000           2.761           12.27        4
  142            27190           2.761           11.24        5
  143            27380           2.761           6.748        6
  144            27570           2.761           4.674        7
  145            27760           2.758           3.954        0
  146            27950           2.758           3.931        1
  147            28140           2.758           3.418        2
  148            28330            2.75           3.113        0
  149            28520            2.75            3.08        1
  150            28710           2.747           2.976        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            28900           2.747           2.993        1
  152            29090           2.746            2.94        0
  153            29280           2.745           2.991        0
  154            29470           2.744           3.166        0
  155            29660           2.744           3.684        0
  156            29850           2.744           4.168        0
