Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              400            2.57           18.42        0
    2              590            2.57           26.82        1
    3              780            2.57           33.55        0
    4              970            2.57           32.09        1
    5             1160            2.57           27.04        2
    6             1350            2.57           25.15        3
    7             1540            2.57           13.43        4
    8             1730            2.57            13.6        5
    9             1920            2.57           11.29        6
   10             2110            2.57           9.112        7
   11             2300            2.57           5.324        8
   12             2490            2.57           4.475        9
   13             2680            2.57           3.652        0
   14             2870            2.57            3.44        0
   15             3060            2.57           3.383        1
   16             3250            2.57           3.294        0
   17             3440            2.57           3.098        0
   18             3630            2.57           3.925        1
   19             3820            2.57           3.516        0
   20             4010            2.57           3.932        1
   21             4200            2.57           3.636        0
   22             4390            2.57           4.294        1
   23             4580            2.57           3.852        2
   24             4770            2.57           3.672        3
   25             4960            2.57           3.142        4
   26             5150            2.57           2.964        0
   27             5340            2.57           2.715        1
   28             5530            2.57           2.639        0
   29             5720            2.57           2.639        0
   30             5910            2.57           2.717        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             6100           2.569           2.686        0
   32             6290           2.569           2.816        1
   33             6480           2.569           2.716        2
   34             6670           2.569           2.683        3
   35             6860           2.569           2.643        4
   36             7050           2.569           2.605        0
   37             7240           2.569           2.591        0
   38             7430           2.569           2.615        0
   39             7620           2.569           2.624        0
   40             7810           2.569           2.831        0
   41             8000           2.569           3.258        1
   42             8190           2.569           2.979        2
   43             8380           2.569           2.828        0
   44             8570           2.569           2.949        0
   45             8760           2.569           3.086        1
   46             8950           2.569           3.016        2
   47             9140           2.569           2.883        0
   48             9330           2.568           2.903        0
   49             9520           2.568           3.293        0
   50             9710           2.568           4.021        0
   51             9900           2.568           6.903        0
   52            10090           2.568           6.621        0
   53            10280           2.568           11.53        0
   54            10470           2.568           13.37        1
   55            10660           2.568           11.39        2
   56            10850           2.568           11.25        0
   57            11040           2.568           11.49        1
   58            11230           2.568           10.53        0
   59            11420           2.568           13.94        1
   60            11610           2.568            12.5        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            11800           2.568           7.565        3
   62            11990           2.568           6.144        4
   63            12180           2.568           4.514        5
   64            12370           2.568           3.935        0
   65            12560           2.568            3.56        0
   66            12750           2.568           4.104        0
   67            12940           2.568           5.458        1
   68            13130           2.568           5.741        2
   69            13320           2.568           5.212        3
   70            13510           2.568           3.824        4
   71            13700           2.568           3.166        5
   72            13890           2.568           2.948        0
   73            14080           2.568           2.703        1
   74            14270           2.568           2.664        2
   75            14460           2.568           2.646        0
   76            14650           2.568           2.626        0
   77            14840           2.568           2.675        1
   78            15030           2.568           2.636        2
   79            15220           2.568           2.624        3
   80            15410           2.568           2.601        4
   81            15600           2.568           2.581        0
   82            15790           2.568           2.581        0
   83            15980           2.568           2.578        0
   84            16170           2.568           2.604        1
   85            16360           2.567           2.599        0
   86            16550           2.567           2.594        0
   87            16740           2.567           2.678        0
   88            16930           2.567           2.862        0
   89            17120           2.567           2.993        0
   90            17310           2.567           3.526        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            17500           2.567           5.483        1
   92            17690           2.567           5.425        2
   93            17880           2.567           4.125        3
   94            18070           2.567           3.572        4
   95            18260           2.567           2.983        5
   96            18450           2.567           2.856        6
   97            18640           2.567           2.841        0
   98            18830           2.567           2.628        0
   99            19020           2.567           2.637        1
  100            19210           2.567           2.627        2
  101            19400           2.567           2.606        3
  102            19590           2.567           2.582        0
  103            19780           2.567           2.582        0
  104            19970           2.567           2.588        1
  105            20160           2.567           2.583        0
  106            20350           2.567           2.589        1
  107            20540           2.567            2.58        0
  108            20730           2.567           2.583        1
  109            20920           2.567           2.581        0
  110            21110           2.567           2.588        0
  111            21300           2.566           2.613        0
  112            21490           2.566           2.742        0
  113            21680           2.566           2.953        1
  114            21870           2.566           2.813        0
  115            22060           2.565           3.131        0
  116            22250           2.565           4.093        1
  117            22440           2.565           4.007        2
  118            22630           2.565           3.618        0
  119            22820           2.565           3.435        0
  120            23010           2.565           3.885        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            23200           2.565           7.186        0
  122            23390           2.565           9.213        1
  123            23580           2.564           7.146        0
  124            23770           2.564           10.68        1
  125            23960           2.564           10.09        2
  126            24150           2.564           6.146        0
  127            24340           2.564            9.06        0
  128            24530           2.564           8.413        0
  129            24720           2.564           9.618        0
  130            24910           2.564           13.37        0
  131            25100           2.564           14.77        1
  132            25290           2.564           15.19        2
  133            25480           2.564           14.44        3
  134            25670           2.564           15.63        4
  135            25860           2.564           10.96        5
  136            26050           2.564           7.736        6
  137            26240           2.564           5.051        7
  138            26430           2.564           4.178        8
  139            26620           2.564           3.615        9
  140            26810           2.564           3.084        0
  141            27000           2.564           2.778        0
  142            27190           2.564           2.814        1
  143            27380           2.564            2.79        2
  144            27570           2.564           2.741        0
  145            27760           2.564           2.685        0
  146            27950           2.564            2.84        1
  147            28140           2.564           2.698        2
  148            28330           2.563           2.654        0
  149            28520           2.563           2.684        0
  150            28710           2.563           2.875        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            28900           2.563               3        1
  152            29090           2.563           3.008        0
  153            29280           2.563           3.031        1
  154            29470           2.563            2.92        2
  155            29660           2.563           2.824        0
  156            29850           2.563           2.963        1
  157            30040           2.563           2.821        2
  158            30230           2.563            2.73        0
  159            30420           2.563           2.809        0
  160            30610           2.563           2.831        0
  161            30800           2.562           3.058        0
  162            30990           2.562           3.707        0
  163            31180           2.562           4.582        0
  164            31370           2.562           7.473        1
  165            31560           2.562            6.63        2
  166            31750           2.562           5.244        0
  167            31940           2.562           6.049        1
  168            32130           2.562           5.547        0
  169            32320           2.562           8.253        0
  170            32510           2.562           9.794        1
  171            32700           2.562           8.859        2
  172            32890           2.562           7.405        3
  173            33080           2.562           5.537        4
  174            33270           2.562           4.143        5
  175            33460           2.562           3.435        0
  176            33650           2.562           3.259        1
  177            33840           2.562           3.142        2
  178            34030           2.562           2.762        0
  179            34220           2.562           2.725        1
  180            34410           2.562           2.614        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  181            34600           2.562           2.612        0
  182            34790           2.562           2.758        1
  183            34980           2.562           2.766        0
  184            35170           2.562           2.717        1
  185            35360           2.562           2.709        2
  186            35550           2.561           2.692        0
  187            35740           2.561           2.687        0
  188            35930           2.561           2.779        0
  189            36120           2.561           2.898        0
  190            36310           2.561           3.757        0
  191            36500           2.561           5.989        1
  192            36690           2.561           4.625        2
  193            36880           2.561           3.708        3
  194            37070           2.561           3.371        4
  195            37260           2.561           3.052        5
  196            37450           2.561           2.942        0
  197            37640           2.561           2.815        1
  198            37830           2.561           2.751        0
  199            38020           2.561            2.71        1
  200            38210           2.561           2.662        0
  201            38400           2.561           2.664        1
  202            38590           2.561           2.613        2
  203            38780           2.561           2.603        3
  204            38970           2.561           2.596        0
  205            39160           2.561           2.587        0
  206            39350           2.561           2.596        1
  207            39540           2.561           2.579        0
  208            39730           2.561           2.586        1
  209            39920           2.561           2.578        0
  210            40110           2.561           2.594        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  211            40300           2.561           2.656        1
  212            40490           2.561           2.608        2
  213            40680           2.561           2.583        0
  214            40870           2.561           2.597        0
  215            41060           2.561           2.661        1
  216            41250           2.561           2.624        0
  217            41440           2.561           2.649        0
  218            41630           2.561           2.733        0
  219            41820           2.561           3.035        1
  220            42010           2.561           3.142        2
  221            42200           2.561           2.859        0
  222            42390            2.56           2.952        0
  223            42580            2.56           3.182        1
  224            42770            2.56           3.066        0
  225            42960            2.56           3.378        0
  226            43150            2.56           3.696        1
  227            43340            2.56           3.591        0
  228            43530            2.56           3.741        1
  229            43720            2.56           3.271        2
  230            43910            2.56           3.099        3
  231            44100            2.56           2.803        4
  232            44290            2.56           2.708        5
  233            44480            2.56           2.607        0
  234            44670            2.56           2.619        1
  235            44860            2.56           2.598        0
  236            45050            2.56           2.609        0
  237            45240            2.56           2.654        1
  238            45430            2.56           2.632        0
  239            45620            2.56           2.665        0
  240            45810            2.56           2.767        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  241            46000            2.56           3.082        1
  242            46190            2.56           2.876        0
  243            46380            2.56           3.058        0
  244            46570            2.56            3.67        0
  245            46760            2.56           5.985        1
  246            46950            2.56           5.774        2
  247            47140            2.56           5.093        0
  248            47330            2.56            4.16        0
  249            47520            2.56           5.093        0
  250            47710            2.56           9.715        1
  251            47900            2.56           9.505        2
  252            48090            2.56            8.71        0
  253            48280            2.56           8.505        1
  254            48470            2.56           7.154        2
  255            48660            2.56           5.371        3
  256            48850            2.56           3.336        4
  257            49040            2.56           3.004        5
  258            49230            2.56           2.866        6
  259            49420            2.56           2.716        0
  260            49610            2.56           2.662        0
  261            49800            2.56           2.687        1
  262            49990            2.56           2.636        0
  263            50180           2.559           2.702        0
  264            50370           2.559           2.759        0
  265            50560           2.559           3.253        1
  266            50750           2.559            3.16        0
  267            50940           2.559           3.535        1
  268            51130           2.559           3.321        0
  269            51320           2.559            3.58        0
  270            51510           2.559           3.915        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  271            51700           2.559           5.844        1
  272            51890           2.559           4.629        2
  273            52080           2.559           5.085        0
  274            52270           2.559           5.546        0
  275            52460           2.559           5.388        1
  276            52650           2.559           4.824        2
  277            52840           2.559           4.048        3
  278            53030           2.559           3.627        4
  279            53220           2.559           3.349        5
  280            53410           2.559           3.189        0
  281            53600           2.559           2.969        1
  282            53790           2.559             2.9        2
  283            53980           2.559           2.695        0
  284            54170           2.559           2.592        0
  285            54360           2.559           2.655        0
  286            54550           2.559           2.718        0
  287            54740           2.559           2.854        0
  288            54930           2.559           3.475        1
  289            55120           2.559           3.444        0
  290            55310           2.559           3.906        1
  291            55500           2.559           3.787        2
  292            55690           2.559           3.197        3
  293            55880           2.559           2.731        0
  294            56070           2.559           2.854        1
  295            56260           2.559           2.837        2
  296            56450           2.559           2.712        0
  297            56640           2.559           2.713        0
  298            56830           2.559           2.877        1
  299            57020           2.559           2.764        2
  300            57210           2.559           2.687        3

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  301            57400           2.559           2.636        0
  302            57590           2.559           2.609        0
  303            57780           2.559           2.629        1
  304            57970           2.559           2.628        0
  305            58160           2.559           2.634        0
  306            58350           2.559           2.815        1
  307            58540           2.559           2.741        2
  308            58730           2.559           2.721        0
  309            58920           2.559           2.713        0
  310            59110           2.559           2.901        0
  311            59300           2.559           3.346        0
  312            59490           2.559           4.204        0
  313            59680           2.559           5.863        1
  314            59870           2.559           4.788        2
  315            60060           2.559           4.123        3
  316            60250           2.559           3.357        4
  317            60440           2.559           3.154        5
  318            60630           2.558           2.857        0
  319            60820           2.558           2.712        1
  320            61010           2.558           2.686        0
  321            61200           2.558           2.646        0
  322            61390           2.558           2.767        1
  323            61580           2.558           2.747        2
  324            61770           2.558           2.752        0
  325            61960           2.558           2.678        0
  326            62150           2.558           2.769        1
  327            62340           2.558           2.758        2
  328            62530           2.558           2.683        0
  329            62720           2.558           2.684        1
  330            62910           2.558           2.602        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  331            63100           2.558           2.619        0
  332            63290           2.558           2.848        1
