Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              400           19.46           163.7        0
    2              590           13.64           141.7        0
    3              780           8.569           122.8        0
    4              970           8.569           125.6        1
    5             1160           8.569           123.1        2
    6             1350           8.569           107.7        3
    7             1540           6.163           113.9        0
    8             1730           6.163           103.8        1
    9             1920           6.163           97.14        2
   10             2110           6.163           91.72        3
   11             2300           6.152           73.45        0
   12             2490           5.526           55.22        0
   13             2680           5.526           43.68        1
   14             2870           5.458            38.4        0
   15             3060           5.458           30.74        1
   16             3250            5.23           25.07        0
   17             3440            5.23           21.43        1
   18             3630           5.018           19.69        0
   19             3820           4.996           21.37        0
   20             4010           4.996           27.09        1
   21             4200           4.565              26        0
   22             4390           4.538           24.65        0
   23             4580           4.259           27.21        0
   24             4770           4.259           25.92        1
   25             4960           4.259           29.14        2
   26             5150           4.259           25.13        3
   27             5340           4.229           21.23        0
   28             5530           4.229           23.26        1
   29             5720           4.202           21.13        0
   30             5910           4.151           22.09        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             6100           4.076           22.89        0
   32             6290           4.041           29.32        0
   33             6480           4.018           33.64        0
   34             6670           4.018           39.14        1
   35             6860           4.018           36.75        2
   36             7050           4.018            33.1        3
   37             7240           4.018           22.63        4
   38             7430           4.018           16.53        5
   39             7620           4.018           13.69        6
   40             7810           3.974           9.842        0
   41             8000           3.974            10.3        1
   42             8190           3.974           8.271        2
   43             8380           3.968           7.581        0
   44             8570            3.95           7.604        0
   45             8760           3.931           10.17        0
   46             8950           3.923           11.19        0
   47             9140            3.91           15.84        0
   48             9330           3.866           20.68        0
   49             9520           3.866           25.43        1
   50             9710           3.866           26.49        2
   51             9900           3.851           28.75        0
   52            10090           3.846           18.38        0
   53            10280           3.846           27.39        1
   54            10470           3.845           22.16        0
   55            10660           3.844           27.79        0
   56            10850           3.827            29.1        0
   57            11040           3.812           32.37        0
   58            11230           3.805            40.1        0
   59            11420           3.798           29.78        0
   60            11610           3.797           38.72        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            11800           3.792           35.05        0
   62            11990           3.792           27.58        1
   63            12180           3.792           30.11        2
   64            12370           3.789           22.51        0
   65            12560           3.789           29.01        1
   66            12750           3.789            24.4        2
   67            12940           3.783           25.24        0
   68            13130           3.783           24.48        1
   69            13320           3.783           23.37        2
   70            13510           3.783           21.43        3
   71            13700           3.775           18.45        0
   72            13890           3.775            16.6        0
   73            14080           3.765            16.5        0
   74            14270           3.758           18.18        0
   75            14460           3.747           22.77        0
   76            14650           3.723            36.1        0
   77            14840           3.723           32.93        1
   78            15030           3.723           29.24        2
   79            15220           3.723            28.8        3
   80            15410           3.707           23.18        0
   81            15600           3.707           21.59        1
   82            15790           3.682           14.94        0
   83            15980           3.682           16.77        1
   84            16170           3.682           15.42        2
   85            16360           3.682           13.02        3
   86            16550           3.667           13.31        0
   87            16740           3.667           16.11        1
   88            16930           3.667           14.89        2
   89            17120           3.596           8.976        0
   90            17310           3.596           9.776        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            17500           3.596            8.94        2
   92            17690           3.596           6.451        3
   93            17880           3.538           5.324        0
   94            18070           3.525           5.131        0
   95            18260           3.525           5.758        1
   96            18450           3.525           5.211        2
   97            18640           3.524           4.601        0
   98            18830           3.522           4.936        0
   99            19020           3.504           5.676        0
  100            19210           3.504            9.08        1
  101            19400           3.497           7.295        0
  102            19590           3.474           8.968        0
  103            19780           3.444           13.12        0
  104            19970           3.444           17.63        1
  105            20160            3.44           19.99        0
  106            20350            3.44            18.8        1
  107            20540            3.44           15.28        2
  108            20730           3.438           12.46        0
  109            20920           3.431           12.39        0
  110            21110           3.431           13.39        1
  111            21300           3.422           12.49        0
  112            21490           3.422            12.6        1
  113            21680           3.421           12.35        0
  114            21870           3.421           11.02        1
  115            22060           3.403           10.05        0
  116            22250            3.38           12.91        0
  117            22440            3.38            11.6        1
  118            22630            3.38           16.23        2
  119            22820            3.38           17.09        0
  120            23010           3.379           16.42        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            23200           3.379           15.52        1
  122            23390           3.379           15.22        2
  123            23580           3.378           16.34        0
  124            23770           3.371            19.8        0
  125            23960           3.371           17.06        1
  126            24150            3.37           16.45        0
  127            24340            3.37           16.57        1
  128            24530           3.369           19.21        0
  129            24720           3.369           16.45        1
  130            24910           3.369           15.87        2
  131            25100           3.369           16.56        3
  132            25290           3.368           13.82        0
  133            25480           3.361           13.07        0
  134            25670           3.361           9.766        1
  135            25860           3.361           11.41        2
  136            26050           3.361           12.28        3
  137            26240           3.361           9.058        4
  138            26430           3.339           7.261        0
  139            26620           3.339           6.265        1
  140            26810           3.333           6.101        0
  141            27000           3.333            5.39        1
  142            27190           3.333           5.232        2
  143            27380            3.33           4.437        0
  144            27570           3.327           4.653        0
  145            27760           3.316           5.462        0
  146            27950           3.316           7.456        1
  147            28140           3.316           7.234        2
  148            28330           3.316           5.832        0
  149            28520           3.309           5.555        0
  150            28710           3.309           6.656        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            28900           3.309           7.537        2
  152            29090           3.291           6.069        0
  153            29280           3.291           7.047        1
  154            29470           3.291           5.695        2
  155            29660           3.291           4.929        3
  156            29850           3.291           4.353        4
  157            30040           3.289           3.593        0
  158            30230           3.289           3.613        1
  159            30420           3.286           3.615        0
  160            30610           3.286           3.721        1
  161            30800           3.286           3.793        2
  162            30990           3.284           3.762        0
  163            31180           3.279           3.717        0
  164            31370           3.269           3.635        0
  165            31560           3.269           3.722        0
  166            31750           3.258            3.88        0
  167            31940           3.256           4.371        0
  168            32130           3.256           6.037        0
  169            32320           3.252           11.01        0
  170            32510           3.252           13.21        1
  171            32700           3.248           12.89        0
  172            32890           3.248           13.45        1
  173            33080           3.245           15.22        0
  174            33270           3.238           17.17        0
  175            33460           3.238           19.36        0
  176            33650           3.237           21.88        0
  177            33840           3.235            26.2        0
  178            34030           3.235           32.26        0
  179            34220           3.234           37.42        0
  180            34410           3.234           31.56        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  181            34600           3.234           31.44        0
  182            34790           3.233           35.61        0
  183            34980           3.233           32.56        1
  184            35170           3.231           31.99        0
  185            35360            3.23           32.85        0
  186            35550           3.228           33.93        0
  187            35740           3.227           33.29        0
  188            35930           3.227           29.21        0
  189            36120           3.226           33.36        0
  190            36310           3.226           36.16        1
  191            36500           3.226           30.48        2
  192            36690           3.226           19.38        3
  193            36880           3.226           17.98        4
  194            37070           3.226           15.84        5
  195            37260           3.226           14.38        6
  196            37450           3.226           10.13        7
  197            37640           3.226           8.407        0
  198            37830           3.226           7.341        0
  199            38020           3.226           10.21        0
  200            38210           3.222           10.92        0
  201            38400           3.222           12.31        1
  202            38590           3.222           11.96        2
  203            38780            3.22           10.27        0
  204            38970            3.22           10.56        1
  205            39160            3.22            10.8        2
  206            39350           3.205           7.665        0
  207            39540           3.204           8.615        0
  208            39730           3.203           9.629        0
  209            39920           3.203           9.977        0
  210            40110           3.202           12.67        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  211            40300           3.202            21.1        1
  212            40490           3.202            18.2        2
  213            40680           3.202           17.65        3
  214            40870           3.196           15.65        0
  215            41060           3.194           20.14        0
  216            41250           3.194           19.27        1
  217            41440           3.194           18.24        2
  218            41630           3.194           15.21        0
  219            41820           3.194           16.89        1
  220            42010           3.194           14.92        2
  221            42200           3.194           13.32        3
  222            42390           3.194           9.072        4
  223            42580           3.192           6.805        0
  224            42770           3.186           6.474        0
  225            42960           3.186           8.099        1
  226            43150           3.186           6.986        2
  227            43340           3.186           5.786        3
  228            43530           3.184           5.414        0
  229            43720           3.179           5.583        0
  230            43910           3.179           5.377        1
  231            44100           3.179           4.631        2
  232            44290           3.172           4.089        0
  233            44480           3.172           4.226        1
  234            44670           3.172           3.976        2
  235            44860           3.172           3.633        3
  236            45050            3.17           3.455        0
  237            45240           3.164            3.39        0
  238            45430           3.164           3.607        1
  239            45620           3.162           3.506        0
  240            45810           3.157           3.592        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  241            46000           3.154           3.953        0
  242            46190            3.15           4.897        0
  243            46380            3.15           9.451        1
  244            46570           3.143           6.861        0
  245            46760           3.142           9.805        0
  246            46950           3.142           16.47        1
  247            47140           3.139           14.88        0
  248            47330           3.139           12.64        1
  249            47520           3.139           9.975        2
  250            47710           3.139           8.092        3
  251            47900           3.139           6.546        4
  252            48090           3.127           4.938        0
  253            48280           3.125           4.577        0
  254            48470           3.125           5.017        1
  255            48660           3.114           4.638        0
  256            48850           3.114           5.069        1
  257            49040           3.114           4.608        2
  258            49230            3.11           4.151        0
  259            49420            3.11           4.403        1
  260            49610            3.11           4.237        2
  261            49800           3.106           3.776        0
  262            49990           3.106           3.896        1
  263            50180           3.104           3.706        0
  264            50370           3.103           3.497        0
  265            50560           3.099            3.86        0
  266            50750           3.099           4.867        0
  267            50940           3.098            9.27        0
  268            51130           3.095           9.841        0
  269            51320           3.095           13.07        1
  270            51510           3.094           10.55        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  271            51700           3.086           13.18        0
  272            51890           3.075           17.69        0
  273            52080           3.075           22.55        1
  274            52270           3.075           23.28        2
  275            52460           3.066           20.89        0
  276            52650           3.066           19.21        1
  277            52840           3.066           20.89        2
  278            53030           3.064           14.69        0
  279            53220           3.064           13.82        0
  280            53410           3.062           12.05        0
  281            53600           3.061           22.36        0
  282            53790           3.059           29.45        0
  283            53980           3.058           33.49        0
  284            54170           3.058           36.18        0
  285            54360           3.055           33.38        0
  286            54550           3.055           40.43        0
  287            54740           3.055           31.32        1
  288            54930           3.055              29        2
  289            55120           3.055           22.24        0
  290            55310           3.055           25.53        0
  291            55500           3.055           31.24        1
  292            55690           3.055           37.42        2
  293            55880           3.055           25.89        3
  294            56070           3.055            19.9        4
  295            56260           3.054           16.98        0
  296            56450           3.054           16.04        1
  297            56640           3.054           17.51        2
  298            56830           3.053           9.974        0
  299            57020           3.053           11.73        0
  300            57210           3.053           14.48        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  301            57400           3.053           12.58        2
  302            57590           3.053            10.3        3
  303            57780           3.053           7.779        4
  304            57970           3.053           5.555        5
  305            58160           3.053           4.939        0
  306            58350           3.052           5.181        0
  307            58540           3.052           5.595        1
  308            58730           3.052           5.051        2
  309            58920           3.048           4.444        0
  310            59110           3.048            4.13        1
  311            59300           3.045           3.943        0
  312            59490           3.045           4.273        1
  313            59680           3.043           3.953        0
  314            59870           3.043           4.297        0
  315            60060           3.043           5.052        0
  316            60250           3.041           6.737        0
  317            60440            3.04           9.953        0
  318            60630            3.04           14.28        1
  319            60820           3.039           12.98        0
  320            61010           3.039           15.75        1
  321            61200           3.039           15.78        0
  322            61390           3.039           12.91        1
  323            61580           3.038           8.962        0
  324            61770           3.038            10.3        0
  325            61960           3.038           16.12        1
  326            62150           3.038           17.97        2
  327            62340           3.038           13.25        0
  328            62530           3.038           12.42        1
  329            62720           3.038           12.91        2
  330            62910           3.038           11.61        3

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  331            63100           3.038           7.577        4
  332            63290           3.037            5.48        0
  333            63480           3.037           5.269        0
  334            63670           3.031           7.591        0
  335            63860           3.031           12.07        1
  336            64050           3.031           10.92        2
  337            64240           3.031           9.139        0
  338            64430           3.031           7.511        0
  339            64620            3.03           7.492        0
  340            64810            3.03            10.8        0
  341            65000            3.03           13.61        1
  342            65190            3.03           16.64        0
  343            65380            3.03           18.06        1
  344            65570            3.03           18.67        2
  345            65760            3.03           18.58        3
  346            65950            3.03           10.14        4
  347            66140           3.029           8.234        0
  348            66330           3.029           8.221        1
  349            66520           3.029           7.581        2
  350            66710           3.029           5.353        3
  351            66900           3.029           4.306        4
  352            67090           3.028           3.983        0
  353            67280           3.016           3.808        0
  354            67470           3.016           3.746        0
  355            67660           3.016           4.674        0
  356            67850           3.015           5.906        0
  357            68040           3.015           9.928        1
  358            68230           3.015           10.02        0
  359            68420           3.015           7.565        0
  360            68610           3.015           15.27        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  361            68800           3.015           10.96        2
  362            68990           3.015           13.21        0
  363            69180           3.015           15.84        1
  364            69370           3.015           9.906        0
  365            69560           3.015           9.452        0
  366            69750           3.014            11.1        0
  367            69940           3.014           11.96        1
  368            70130           3.013           15.59        0
  369            70320           3.013           20.76        1
  370            70510           3.013           16.61        0
  371            70700           3.013           19.06        0
  372            70890           3.013           26.75        0
  373            71080           3.013           27.79        0
  374            71270           3.013           29.14        1
  375            71460           3.013           28.81        2
  376            71650           3.013           21.66        3
  377            71840           3.013           20.15        4
  378            72030           3.013           19.11        5
  379            72220           3.013           14.97        6
  380            72410           3.013           12.14        7
  381            72600           3.013           8.473        0
  382            72790           3.011           7.335        0
  383            72980           3.011           9.259        0
  384            73170            3.01           11.09        0
  385            73360            3.01           13.76        1
  386            73550            3.01           11.71        2
  387            73740            3.01           10.97        3
  388            73930            3.01           7.576        4
  389            74120            3.01            5.32        5
  390            74310            3.01           4.257        6

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  391            74500            3.01           3.675        0
  392            74690            3.01            3.38        0
  393            74880           3.009           3.416        0
  394            75070           2.999           4.832        0
  395            75260           2.991           6.025        0
  396            75450           2.991           7.355        1
  397            75640           2.991           7.083        2
  398            75830           2.989           6.419        0
  399            76020           2.987           8.105        0
  400            76210           2.987           10.99        1
  401            76400           2.987           8.524        0
  402            76590           2.987           9.802        1
  403            76780           2.987            8.08        2
  404            76970           2.987           6.569        3
  405            77160           2.985           5.572        0
  406            77350           2.985           4.799        1
  407            77540           2.985           4.118        2
  408            77730           2.985           3.768        3
  409            77920           2.985            3.36        0
  410            78110           2.984           3.254        0
  411            78300           2.984           3.347        0
  412            78490           2.984           4.361        0
  413            78680           2.982           5.389        0
  414            78870           2.981           8.182        0
  415            79060           2.981           13.99        0
  416            79250           2.981           12.97        1
  417            79440           2.981           13.46        2
  418            79630            2.98           13.02        0
  419            79820            2.98           13.39        0
  420            80010            2.98           14.46        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  421            80200            2.98           15.96        0
