Multi-objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverintermediate
SelectionFcn:      @selectiontournament
MutationFcn:       @mutationadaptfeasible

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
    1           200                 1                 1
    2           400          0.278614          0.971333
    3           600          0.136799          0.998362
    4           800          0.122846          0.909866
    5          1000          0.213233          0.998303
    6          1200          0.213233          0.378202
    7          1400          0.241032          0.810407
    8          1600          0.187383          0.997631
    9          1800          0.220182          0.650644
   10          2000          0.369732          0.609244
   11          2200          0.369732          0.609244
   12          2400          0.412623          0.364586
   13          2600          0.412623          0.364586
   14          2800          0.448766          0.615072
   15          3000          0.438214          0.609285
   16          3200                 0         0.0768179
   17          3400          0.438229          0.838607
   18          3600          0.438229          0.604978
   19          3800          0.435514           0.60123
   20          4000          0.435514           0.60123
   21          4200          0.382034          0.905205
   22          4400          0.382034          0.905205
   23          4600          0.335706           1.09774
   24          4800          0.318013           1.18844
   25          5000          0.410298          0.776632
   26          5200          0.073599          0.998818
   27          5400         0.0873175          0.409176
   28          5600         0.0852186          0.570861
   29          5800          0.080597           0.70904
   30          6000         0.0817613          0.464197

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
   31          6200         0.0808583          0.400822
   32          6400           0.11906          0.465855
   33          6600          0.113562          0.679535
   34          6800         0.0949708          0.672318
   35          7000         0.0989165          0.700126
   36          7200         0.0955097          0.692098
   37          7400         0.0858702          0.851685
   38          7600         0.0830167          0.884718
   39          7800         0.0804042          0.928283
   40          8000          0.090561          0.908628
   41          8200         0.0874273          0.943022
   42          8400         0.0869694          0.938083
   43          8600         0.0787734           1.06206
   44          8800         0.0788756           1.06835
   45          9000         0.0625396           1.44777
   46          9200         0.0654082            1.3249
   47          9400         0.0717193           1.11673
   48          9600         0.0737323           1.12781
   49          9800         0.0754879            1.0825
   50         10000         0.0681734            1.2383
   51         10200         0.0715651           1.15811
   52         10400         0.0653349           1.32463
   53         10600         0.0573343           1.39688
   54         10800         0.0564425           1.37285
   55         11000         0.0539544           1.56866
   56         11200         0.0498658           1.77394
   57         11400         0.0048015          0.996109
   58         11600        0.00499621          0.735308
   59         11800        0.00495494          0.633178
   60         12000        0.00533452          0.364905

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
   61         12200        0.00375248           0.32993
   62         12400        0.00386907          0.414098
   63         12600        0.00403439          0.366084
   64         12800        0.00459198          0.371967
   65         13000        0.00525684           0.70124
   66         13200        0.00674789           0.44271
   67         13400        0.00546463          0.414537
   68         13600        0.00364483          0.767801
   69         13800         0.0031382          0.573117
   70         14000        0.00227339            0.1576
   71         14200         0.0030416          0.628711
   72         14400        0.00270877          0.206736
   73         14600        0.00272384          0.281258
   74         14800        0.00744239            0.6674
   75         15000        0.00782995          0.772793
   76         15200        0.00749915          0.519698
   77         15400        0.00660933          0.947579
   78         15600        0.00660953          0.639419
   79         15800        0.00655818          0.658854
   80         16000         0.0102222             0.936
   81         16200          0.010889          0.692315
   82         16400        0.00855109          0.638227
   83         16600        0.00881732           0.60935
   84         16800        0.00940056          0.545711
   85         17000        0.00934824          0.687614
   86         17200         0.0102015          0.533251
   87         17400         0.0100278          0.537658
   88         17600        0.00973829          0.778652
   89         17800        0.00986407          0.635088
   90         18000        0.00832317          0.533694

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
   91         18200        0.00649833          0.883853
   92         18400          0.012862          0.979943
   93         18600         0.0132879          0.888419
   94         18800         0.0108545          0.866187
   95         19000        0.00998747          0.885455
   96         19200        0.00900546          0.997992
   97         19400        0.00818919           1.07319
   98         19600        0.00757452           1.05566
   99         19800        0.00742712           1.03512
  100         20000        0.00748973           1.04385
  101         20200        0.00760661           1.06013
  102         20400         0.0065451          0.864804
  103         20600        0.00599075          0.749985
  104         20800        0.00552178          0.413943
  105         21000        0.00355858          0.829101
  106         21200        0.00389932          0.390091
  107         21400        0.00615115          0.414703
  108         21600        0.00585891          0.433226
  109         21800        0.00730296          0.898493
  110         22000         0.0172295          0.846071
  111         22200         0.0155282          0.631489
  112         22400         0.0156005          0.634427
  113         22600         0.0117282          0.503448
  114         22800        0.00865161          0.689834
  115         23000        0.00791178          0.581706
  116         23200         0.0115158          0.440008
  117         23400         0.0115158          0.440008
  118         23600          0.010044          0.721832
  119         23800          0.010044          0.467688
  120         24000         0.0107927          0.823459

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  121         24200         0.0160639          0.823594
  122         24400         0.0142938          0.788377
  123         24600          0.013111          0.813696
  124         24800         0.0122818           0.95786
  125         25000          0.011744          0.876018
  126         25200         0.0126188          0.912745
  127         25400         0.0117387           1.00829
  128         25600         0.0109367           1.08359
  129         25800         0.0103328           1.15409
  130         26000        0.00967628           1.24201
  131         26200         0.0114332           1.03983
  132         26400         0.0110499           1.33008
  133         26600         0.0110833            1.3341
  134         26800        0.00922456           1.03821
  135         27000        0.00922992           1.27933
  136         27200         0.0104127           1.21722
  137         27400        0.00940804           1.27043
  138         27600        0.00929006            1.2545
  139         27800        0.00933763           1.26092
  140         28000        0.00929129           1.19182
  141         28200        0.00918797           1.17115
  142         28400        0.00900407           1.21406
  143         28600        0.00961021           1.03383
  144         28800        0.00896518           1.02434
  145         29000         0.0098403           1.12154
  146         29200        0.00995313           1.29009
  147         29400         0.0099596           1.29093
  148         29600        0.00976256           1.17603
  149         29800        0.00947915           1.24916
  150         30000        0.00947427           1.24852

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  151         30200        0.00967186           1.27456
  152         30400        0.00964196           1.27062
  153         30600        0.00963397            1.1478
  154         30800        0.00831398           1.06571
  155         31000        0.00857778           1.09952
  156         31200         0.0083048            1.0469
  157         31400        0.00831581           1.07181
  158         31600        0.00822788           1.06048
  159         31800        0.00818786           1.05532
  160         32000        0.00817803           1.05406
  161         32200        0.00816634           1.00331
  162         32400        0.00827401          0.986888
  163         32600        0.00847412          0.995176
  164         32800        0.00816175          0.958492
  165         33000        0.00957594          0.700482
  166         33200         0.0079469          0.636681
  167         33400        0.00839292          0.540855
  168         33600        0.00942402          0.566613
  169         33800        0.00928927          0.552087
  170         34000        0.00919273          0.727024
  171         34200         0.0160792          0.957894
  172         34400         0.0188933          0.767415
  173         34600         0.0186865          0.809614
  174         34800         0.0168269          0.865744
  175         35000         0.0163966          0.808933
  176         35200         0.0141643          0.916746
  177         35400         0.0138412          0.860286
  178         35600         0.0123279          0.944268
  179         35800         0.0125367          0.922128
  180         36000         0.0120775          0.980582

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  181         36200         0.0111277           1.04874
  182         36400         0.0107031           1.14924
  183         36600         0.0108014           1.13749
  184         36800         0.0109842           1.15295
  185         37000         0.0105895           1.20226
  186         37200         0.0104654           1.21059
  187         37400         0.0100668           1.05738
  188         37600         0.0101591           1.23037
  189         37800        0.00995782            1.1606
  190         38000        0.00959902           1.27947
  191         38200        0.00946243           1.32007
  192         38400        0.00945243           1.20274
  193         38600        0.00945986           1.33476
  194         38800        0.00944028           1.32207
  195         39000         0.0094438           1.32851
  196         39200        0.00943096           1.34437
  197         39400        0.00941845           1.33172
  198         39600        0.00941658           1.24312
  199         39800        0.00942069           1.41679
  200         40000        0.00948135           1.37561
  201         40200        0.00948762           1.39212
  202         40400        0.00948097           1.38628
  203         40600        0.00947885           1.38479
  204         40800        0.00948062           1.39138
  205         41000        0.00944894           1.34562
  206         41200        0.00945299           1.36805
  207         41400        0.00945956           1.35754
  208         41600        0.00946858           1.34619
  209         41800        0.00949186           1.09614
  210         42000        0.00949106           1.14936

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  211         42200        0.00955545           1.03137
  212         42400        0.00969118           1.23844
  213         42600         0.0168892          0.860113
  214         42800         0.0161139           0.81779
  215         43000         0.0193252          0.641273
  216         43200         0.0174908          0.751106
  217         43400         0.0169509          0.804731
  218         43600         0.0162976          0.693106
  219         43800         0.0138432          0.767903
  220         44000         0.0130515          0.796698
  221         44200         0.0125459          0.858662
  222         44400         0.0119798          0.886397
  223         44600         0.0115419          0.967084
  224         44800         0.0110355           1.00684
  225         45000          0.010758           1.04161
  226         45200        0.00754786          0.899449
  227         45400        0.00729525          0.911669
  228         45600        0.00734135          0.915848
  229         45800        0.00800716          0.864727
  230         46000        0.00760812           0.91771
  231         46200        0.00744256          0.943849
  232         46400        0.00742522          0.941206
  233         46600        0.00734217          0.962864
  234         46800        0.00733092          0.936287
  235         47000        0.00726262          0.934986
  236         47200        0.00724294          0.908188
  237         47400        0.00727599          0.943293
  238         47600        0.00726673          0.925258
  239         47800        0.00725413          0.936938
  240         48000        0.00724384          0.911191

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  241         48200        0.00726324          0.928017
  242         48400        0.00724493          0.914088
  243         48600        0.00724465          0.927784
  244         48800        0.00725154          0.937947
  245         49000        0.00723609          0.964301
  246         49200        0.00725825          0.967315
  247         49400        0.00734443          0.955289
  248         49600        0.00736246          0.965052
  249         49800        0.00727903          0.967827
  250         50000        0.00726029          0.958484
  251         50200        0.00727366          0.982099
  252         50400        0.00725434          0.954279
  253         50600        0.00725286          0.938387
  254         50800        0.00727585           0.97093
  255         51000        0.00725692          0.952134
  256         51200        0.00724303          0.946742
  257         51400         0.0072527          0.953439
  258         51600        0.00724949          0.965118
  259         51800        0.00726325           0.96755
  260         52000        0.00726583          0.974786
  261         52200        0.00725403          0.963697
  262         52400        0.00747093          0.992129
  263         52600         0.0075329           0.97709
  264         52800        0.00738449          0.964066
  265         53000        0.00738199          0.956387
  266         53200        0.00734359          0.972433
  267         53400        0.00735182          0.953799
  268         53600        0.00767677          0.976978
  269         53800        0.00767163          0.970314
  270         54000         0.0076118          0.956767

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  271         54200        0.00755557          0.978753
  272         54400        0.00757474          0.998212
  273         54600        0.00755035          0.965601
  274         54800        0.00756658          0.985164
  275         55000        0.00756115          0.988165
  276         55200        0.00761023          0.980104
  277         55400        0.00759934          0.967867
  278         55600        0.00758976          0.964273
  279         55800        0.00760061           0.97714
  280         56000        0.00761382          0.995652
  281         56200        0.00760758          0.988307
  282         56400         0.0075985          0.981888
  283         56600        0.00761965          0.994925
  284         56800        0.00767287          0.988491
  285         57000        0.00816135           0.96894
  286         57200        0.00803171           1.00044
  287         57400        0.00789997           1.04972
  288         57600        0.00789254           1.04026
  289         57800        0.00845064          0.937496
  290         58000         0.0086384          0.907888
  291         58200        0.00917014          0.785948
  292         58400        0.00885749          0.825165
  293         58600        0.00974232          0.689773
  294         58800        0.00943959          0.721103
  295         59000        0.00955435          0.694266
  296         59200         0.0100746          0.647072
  297         59400         0.0103437           0.56666
  298         59600        0.00955112          0.685622
  299         59800        0.00915878          0.743966
