    Run       Local       Local      Local    Local   First-order
   Index     exitflag      f(x)     # iter   F-count   optimality
       1         2        238.9        17       403         398.9
       2         2        269.7         9       227     2.629e+08
       3         2        238.2         4       118          4633
       4         2        4.263        41       864         971.9
       5         2        278.2        14       337     1.718e+08
       6         2        3.742        28       615     1.014e+04
       7         2         5.52        15       326     7.845e+04
       8         2        6.065        26       556     4.854e+04
       9         2         8.97        11       270     9.472e+04
      10         2        6.519        19       422     1.042e+04
      11         2        238.7        24       575     6.395e+08
      12         2        280.9         9       192     1.488e+04
      13         2        242.5        12       301     3.393e+08
      14         2        22.26        26       558         731.7
      15         2        7.225        48       930     4.316e+04
      16         2        3.647        48       983     1.407e+04
      17         2        279.4        16       362          1462
      18         2        279.4        13       318         241.5
      19         2        5.799        26       563     1.356e+05
      20         2         21.8        11       259          1847
      21         2        16.34        30       664     3.334e+04
      22         2        282.1        17       412         580.3
      23         2        281.6        17       393          92.8
      24         2        7.894        15       334     2.219e+05
      25         2        16.86         7       175      3.78e+04
      26         2        223.7        11       268           887
      27         2        277.4        12       291         205.3
      28         2        246.6         8       202     2.116e+08
      29         2        266.8         9       223     1.909e+08
      30         2          237        12       300         453.1
      31         2        11.26        61      1233          1688
      32         2        277.3         6       156          1190
      33         2        4.234        34       730          7502
      34         2        3.447        49      1070          5599
      35         2        285.8        16       368          3039
      36         2        21.41        62      1278         55.39
      37         2        261.7         8       204          1127
      38         2        276.3        28       614         64.65
      39         2        4.231        29       622         417.1
      40         2        4.855        43       908          9252
      41         2        236.6        14       340           171
      42         2        279.5        14       318          1676
      43         2        272.5        12       287     2.442e+08
      44         2        19.01         7       180     5.184e+04
      45         2        5.717        24       535     9.473e+04
      46         2        4.446        65      1323         443.6
      47         2        4.174        40       818          3656
      48         2        5.498        22       501     1.449e+04
      49         2        61.18         4       115          3165
      50         2        3.856        70      1472          3461
      51         2        259.8        16       375     2.071e+08
      52         2        5.556        15       337          6127
      53         2        232.2        15       361     4.568e+08
      54         2        281.5        11       247          4497
      55         2        3.809        35       752     3.158e+04
      56         2        19.71        10       249     2.926e+04
      57         2        281.3        14       332          8198
      58         2        8.214        18       408     2.361e+04
      59         2         5.22        22       501         771.1
      60         2        254.2        11       266     2.143e+08
      61         2        5.292        33       714         582.8
      62         2        279.4        17       397           443
      63         2        281.2         9       216          2151
      64         2        278.9        14       329          3613
      65         2        279.9        13       303           486
      66         2        236.5        11       261         45.43
Warning: Matrix is close to singular or badly scaled. Results may be inaccurate. RCOND =  1.739560e-17. 
> In backsolveSys
In solveKKTsystem
In computeTrialStep
In barrier
In fmincon (line 862)
In globaloptim.multistart.fmultistart
In globaloptim.multistart.fmultistart
In MultiStart/run (line 257)
In optimization2 (line 37)
 
      67         2        236.9         9       223     9.784e+08
      68         2        46.28         4       119          2045
      69         2        278.8        16       383          18.2
      70         2        278.4        18       404          2152
      71         2        258.9        12       293     2.102e+08
      72         2        7.761        19       423          4233
      73         2        6.234        38       835     1.304e+04
      74         2        56.13         3        94          5651
      75         2        279.7        15       336          6444
      76         2        283.3        23       519      1.17e+08
      77         2        276.2        18       423         19.97
      78         2        273.4        24       554     1.632e+08
      79         2        9.753        11       260     8.764e+04
      80         2         4.07        47       973          7091
      81         2        276.6        20       441         82.79
      82         2        7.873        25       554     1.141e+04
      83         2        293.4        36       733         677.1
      84         2         7.19        29       641          8303
      85         2        261.2        15       376          2831
      86         2        4.253        42       900     7.778e+04
      87         2        5.672        23       518         569.2
      88         2        275.1        25       582         42.41
      89         2        8.813        31       679     2.348e+04
      90         2        239.2        12       302      2.28e+08
      91         2          282        35       786         210.3
      92         2        282.8        15       349     1.215e+08
      93         2        277.1         3        99          2209
      94         2        6.338        21       468     3.141e+04
      95         2        5.434        26       571     1.274e+05
      96         2        278.2        19       453         53.51
      97         2        7.798         9       225     2.207e+04
      98         2        25.19        31       641     2.022e+04
      99         2        4.313        88      1791         761.3
     100         2          262         4       117         303.2
     101         2        278.4         8       208          1120
     102         2        260.7        10       244     2.188e+08
     103         2        241.2        14       335          4635
     104         2        6.188        17       388     1.991e+05
     105         2        281.2        10       232         187.6
     106         2        280.6        15       321          3397
     107         2        240.7         6       161          1213
     108         2        12.68        52      1078         891.6
     109         2        7.708        11       266     1.994e+04
     110         2        274.9        19       487     1.245e+08
     111         2          240        13       320         322.9
     112         2        275.8        17       376          3818
     113         2        11.32         3        96          1815
     114         2         5.27        19       418          4122
     115         2        4.685        31       692          2397
     116         2        279.6        14       319          2131
     117         2        6.603        60      1247      2.28e+04
     118         2        20.08        60      1253          2335
     119         2        247.9        20       466         336.2
