 Iteration   Func-count     min f(x)         Procedure
     0            1          265.623         
     1           18          70.0662         initial simplex
     2           19          70.0662         reflect
     3           21          57.9097         expand
     4           22          57.9097         reflect
     5           23          57.9097         reflect
     6           25          57.9097         contract inside
     7           27          57.9097         contract inside
     8           29          57.9097         contract inside
     9           31          57.9097         contract inside
    10           33          57.9097         contract inside
    11           35          57.9097         contract inside
    12           37          57.9097         contract inside
    13           38          57.9097         reflect
    14           40          57.9097         contract inside
    15           42          57.9097         contract inside
    16           43          57.9097         reflect
    17           44          57.9097         reflect
    18           45          57.9097         reflect
    19           47          57.9097         contract inside
    20           49          57.9097         contract inside
    21           68          25.4853         shrink
    22           69          25.4853         reflect
    23           70          25.4853         reflect
    24           71          25.4853         reflect
    25           73          25.4853         contract inside
    26           74          25.4853         reflect
    27           75          25.4853         reflect
    28           77          25.4853         contract inside
    29           78          25.4853         reflect
    30           79          25.4853         reflect
    31           80          25.4853         reflect
    32           81          25.4853         reflect
    33           82          25.4853         reflect
    34           84          23.6264         contract inside
    35           85          23.6264         reflect
    36           87          19.6916         contract inside
    37           88          19.6916         reflect
    38           90          19.6916         contract inside
    39           91          19.6916         reflect
    40           92          19.6916         reflect
    41           94          19.6916         contract inside
    42           96          19.6916         contract inside
    43           97          19.6916         reflect
    44           98          19.6916         reflect
    45           99          19.6916         reflect
    46          100          19.6916         reflect
    47          102          19.6916         contract inside
    48          104          19.6916         contract inside
    49          105          19.6916         reflect
    50          107          19.6916         contract inside
    51          109          19.6916         contract inside
    52          111          19.6916         contract inside
    53          113          19.6916         contract inside
    54          115          19.6916         contract outside
    55          116          19.6916         reflect
    56          117          19.6916         reflect
    57          119          19.6916         contract inside
    58          121          19.6916         contract inside
    59          122          19.6916         reflect
    60          123          19.6916         reflect
    61          125          19.6916         contract inside
    62          127           11.812         expand
    63          128           11.812         reflect
    64          130           11.812         contract inside
    65          132           11.812         contract inside
    66          133           11.812         reflect
    67          135           11.812         contract inside
    68          137           11.812         contract inside
    69          138           11.812         reflect
    70          140           11.812         contract inside
    71          141           11.812         reflect
    72          142           11.812         reflect
    73          143           11.812         reflect
    74          144           11.812         reflect
    75          145           11.812         reflect
    76          146           11.812         reflect
    77          148           11.812         contract inside
    78          149           11.812         reflect
    79          150           11.812         reflect
    80          151           11.812         reflect
    81          152           11.812         reflect
    82          154          10.4755         reflect
    83          155          10.4755         reflect
    84          156          10.4755         reflect
    85          158          5.63635         reflect
    86          159          5.63635         reflect
    87          161          5.63635         contract inside
    88          162          5.63635         reflect
    89          163          5.63635         reflect
    90          164          5.63635         reflect
    91          166          5.63635         contract inside
    92          167          5.63635         reflect
    93          168          5.63635         reflect
    94          169          5.63635         reflect
    95          170          5.63635         reflect
    96          171          5.63635         reflect
    97          173          5.63635         contract inside
    98          174          5.63635         reflect
    99          175          5.63635         reflect
   100          176          5.63635         reflect
   101          177          5.63635         reflect
   102          178          5.63635         reflect
   103          179          5.63635         reflect
   104          181          5.63635         contract inside
   105          182          5.63635         reflect
   106          183          5.63635         reflect
   107          184          5.63635         reflect
   108          186          5.63635         contract inside
   109          188          5.63635         contract inside
   110          190          5.63635         contract inside
   111          192          5.63635         contract inside
   112          194          5.63635         contract inside
   113          196          5.63635         contract inside
   114          198          5.63635         contract inside
   115          200          5.63635         contract inside
   116          202          5.63635         contract inside
   117          204          5.63635         contract inside
   118          206          5.63635         contract inside
   119          208          5.63635         contract inside
   120          210          5.63127         contract inside
   121          212          5.42409         contract inside
   122          213          5.42409         reflect
   123          215          5.42409         contract inside
   124          217          5.42409         contract inside
   125          219          5.42409         contract inside
   126          221          5.37311         contract inside
   127          223          5.37311         contract inside
   128          225          5.36054         contract inside
   129          227          5.29291         contract inside
   130          229          5.29291         contract inside
   131          231           5.2412         contract inside
   132          233           5.2412         contract inside
   133          235          5.23206         contract inside
   134          237          5.23206         contract outside
   135          256          4.86818         shrink
   136          257          4.86818         reflect
   137          258          4.86818         reflect
   138          259          4.86818         reflect
   139          260          4.86818         reflect
   140          262          4.86818         contract inside
   141          263          4.86818         reflect
   142          264          4.86818         reflect
   143          266          4.86818         contract inside
   144          268          4.85773         contract inside
   145          269          4.85773         reflect
   146          271          4.84222         contract inside
   147          273          4.84222         contract inside
   148          275          4.84222         contract inside
   149          276          4.84222         reflect
   150          278          4.80939         contract inside
   151          279          4.80939         reflect
   152          281          4.80939         contract inside
   153          282          4.80939         reflect
   154          283          4.80939         reflect
   155          284          4.80939         reflect
   156          285          4.80939         reflect
   157          287          4.79319         reflect
   158          289          4.78569         reflect
   159          290          4.78569         reflect
   160          292          4.78569         contract inside
   161          293          4.78569         reflect
   162          294          4.78569         reflect
   163          296          4.78569         contract inside
   164          298          4.78569         contract inside
   165          300           4.7836         reflect
   166          301           4.7836         reflect
   167          303           4.7836         contract inside
   168          304           4.7836         reflect
   169          305           4.7836         reflect
   170          307           4.7836         contract inside
   171          309           4.7836         contract inside
   172          311           4.7836         contract inside
   173          312           4.7836         reflect
   174          314           4.7836         contract inside
   175          316           4.7836         contract inside
   176          318          4.72408         expand
   177          319          4.72408         reflect
   178          320          4.72408         reflect
   179          321          4.72408         reflect
   180          322          4.72408         reflect
   181          323          4.72408         reflect
   182          324          4.72408         reflect
   183          325          4.72408         reflect
   184          327          4.72408         contract inside
   185          328          4.72408         reflect
   186          329          4.72408         reflect
   187          331          4.72408         contract inside
   188          333          4.70045         expand
   189          335          4.70045         contract inside
   190          336          4.70045         reflect
   191          337          4.70045         reflect
   192          338          4.70045         reflect
   193          339          4.70045         reflect
   194          340          4.70045         reflect
   195          341          4.70045         reflect
   196          342          4.70045         reflect
   197          343          4.70045         reflect
   198          345          4.68372         reflect
   199          346          4.68372         reflect
   200          347          4.68372         reflect
   201          349           4.6772         reflect
   202          350           4.6772         reflect
   203          351           4.6772         reflect
   204          353          4.64285         reflect
   205          354          4.64285         reflect
   206          355          4.64285         reflect
   207          357          4.54679         expand
   208          358          4.54679         reflect
   209          359          4.54679         reflect
   210          360          4.54679         reflect
   211          361          4.54679         reflect
   212          362          4.54679         reflect
   213          363          4.54679         reflect
   214          364          4.54679         reflect
   215          365          4.54679         reflect
   216          367          4.54679         contract inside
   217          369          4.54679         contract inside
   218          370          4.54679         reflect
   219          371          4.54679         reflect
   220          372          4.54679         reflect
   221          373          4.54679         reflect
   222          374          4.54679         reflect
   223          376          4.54679         contract outside
   224          377          4.54679         reflect
   225          378          4.54679         reflect
   226          380          4.54679         contract inside
   227          381          4.54679         reflect
   228          383          4.51326         expand
   229          384          4.51326         reflect
   230          385          4.51326         reflect
   231          386          4.51326         reflect
   232          387          4.51326         reflect
   233          389          4.46642         expand
   234          390          4.46642         reflect
   235          391          4.46642         reflect
   236          393           4.4344         expand
   237          394           4.4344         reflect
   238          396          4.35463         expand
   239          397          4.35463         reflect
   240          398          4.35463         reflect
   241          399          4.35463         reflect
   242          400          4.35463         reflect
   243          401          4.35463         reflect
   244          402          4.35463         reflect
   245          403          4.35463         reflect
   246          404          4.35463         reflect
   247          405          4.35463         reflect
   248          406          4.35463         reflect
   249          408          4.30768         expand
   250          409          4.30768         reflect
   251          410          4.30768         reflect
   252          411          4.30768         reflect
   253          413          4.26782         expand
   254          415          4.16904         expand
   255          416          4.16904         reflect
   256          417          4.16904         reflect
   257          418          4.16904         reflect
   258          419          4.16904         reflect
   259          420          4.16904         reflect
   260          421          4.16904         reflect
   261          422          4.16904         reflect
   262          423          4.16904         reflect
   263          424          4.16904         reflect
   264          426          4.16815         reflect
   265          427          4.16815         reflect
   266          429          4.15751         reflect
   267          430          4.15751         reflect
   268          431          4.15751         reflect
   269          433          4.13628         reflect
   270          434          4.13628         reflect
   271          435          4.13628         reflect
   272          436          4.13628         reflect
   273          437          4.13628         reflect
   274          438          4.13628         reflect
   275          439          4.13628         reflect
   276          440          4.13628         reflect
   277          441          4.13628         reflect
   278          443          4.13628         contract inside
   279          444          4.13628         reflect
   280          445          4.13628         reflect
   281          446          4.13628         reflect
   282          448          4.13628         contract inside
   283          449          4.13628         reflect
   284          450          4.13628         reflect
   285          452          4.13628         contract inside
