Multi-objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverintermediate
SelectionFcn:      @selectiontournament
MutationFcn:       @mutationadaptfeasible

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
    1           200                 1                 1
    2           400        0.00326365           1.00003
    3           600        0.00168197          0.937277
    4           800       0.000658231           0.28915
    5          1000       0.000399939          0.357857
    6          1200       0.000283872          0.435447
    7          1400       0.000214789          0.404795
    8          1600       0.000133491          0.284856
    9          1800       0.000118829          0.250273
   10          2000       8.55092e-05          0.199869
   11          2200       7.44312e-05          0.185641
   12          2400       7.74074e-05           0.20036
   13          2600          0.109943           1.00179
   14          2800          0.109944           4.02743
   15          3000          0.109932           3.99251
   16          3200          0.109933           4.03793
   17          3400          0.109934           3.98923
   18          3600          0.109935           4.04271
   19          3800          0.109934           4.02097
   20          4000          0.109944           4.04233
   21          4200          0.109943           4.03984
   22          4400          0.109933           4.04108
   23          4600          0.109933            4.0412
   24          4800          0.109932            4.0387
   25          5000          0.109934           4.03792
   26          5200          0.109933           4.02686
   27          5400          0.109942           4.03678
   28          5600          0.109943           4.03882
   29          5800          0.109929           4.03301
   30          6000           0.10993           4.03552

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
   31          6200          0.109931            4.0369
   32          6400          0.110736           4.00702
   33          6600          0.110736           4.00821
   34          6800          0.110735           4.00501
   35          7000          0.110735           4.00571
   36          7200          0.110738           4.00738
   37          7400          0.110736           4.00452
   38          7600          0.110738           4.00791
   39          7800          0.110737           4.00609
   40          8000          0.110736           4.00431
   41          8200          0.110738           4.00904
   42          8400          0.111558           3.97286
   43          8600          0.111559           3.97459
   44          8800          0.111559           3.97447
   45          9000           0.11156           3.97604
   46          9200          0.111559           3.97333
   47          9400           0.11156           3.97652
   48          9600          0.111559           3.97343
   49          9800           0.11156           3.97639
   50         10000          0.111559           3.97521
   51         10200          0.110752           3.99296
   52         10400          0.110752             4.003
   53         10600          0.110734           4.00218
   54         10800          0.110733            4.0012
   55         11000          0.110734           4.00215
   56         11200          0.101342           4.02517
   57         11400          0.101342           4.02437
   58         11600          0.101346           4.02765
   59         11800          0.101347           4.02553
   60         12000          0.101348           4.02778

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
   61         12200          0.101347            4.0247
   62         12400          0.101347           4.02564
   63         12600          0.101348           4.02899
   64         12800          0.101347           4.02656
   65         13000          0.101347           4.02592
   66         13200          0.101347           4.02521
   67         13400          0.101346           4.02395
   68         13600          0.101346           4.02379
   69         13800          0.101347           4.02543
   70         14000          0.101347           4.02445
   71         14200          0.101345           4.02071
   72         14400          0.101345           4.02065
   73         14600          0.101346           4.02252
   74         14800          0.101345           4.02058
   75         15000          0.101346           4.02411
   76         15200          0.101347           4.02512
   77         15400          0.101348           4.02709
   78         15600         0.0842387           4.00997
   79         15800         0.0842385           4.00927
   80         16000          0.084239           4.01097
   81         16200         0.0842382           4.00851
   82         16400         0.0842384           4.00892
   83         16600         0.0842383           4.00867
   84         16800         0.0842389           4.01078
   85         17000         0.0842378           4.00707
   86         17200         0.0842384           4.00903
   87         17400         0.0842335           3.98365
   88         17600         0.0918676           3.65698
   89         17800         0.0854831           3.94013
   90         18000         0.0842376           4.00352

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
   91         18200         0.0842382           4.00546
   92         18400         0.0842379           4.00451
   93         18600         0.0842371           4.00202
   94         18800         0.0842377           4.00394
   95         19000         0.0842381           4.00528
   96         19200         0.0842377           4.00393
   97         19400         0.0842367           4.00002
   98         19600         0.0842373           4.00181
   99         19800         0.0461721            1.0015
  100         20000         0.0461716           3.92452
  101         20200          0.046172           3.92648
  102         20400          0.046172           3.92639
  103         20600         0.0461725            3.9293
  104         20800         0.0461725           3.92926
  105         21000         0.0461697           3.93309
  106         21200         0.0461723           3.92842
  107         21400         0.0461725           3.92907
  108         21600         0.0461689           3.92872
  109         21800         0.0461715           3.92797
  110         22000         0.0468582           3.61974
  111         22200         0.0461751           3.94813
  112         22400         0.0461722           3.95089
  113         22600         0.0461756           3.95043
  114         22800          0.046176           3.95307
  115         23000         0.0521821           3.47953
  116         23200         0.0542245           3.34284
  117         23400         0.0531739           3.41187
  118         23600         0.0531739           3.41187
  119         23800           0.05715           3.16368
  120         24000         0.0765762           2.31222

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  121         24200         0.0737042           2.41096
  122         24400         0.0737042           2.41096
  123         24600         0.0737042           2.41096
  124         24800         0.0688109           2.59718
  125         25000         0.0688109           2.59718
  126         25200         0.0656875           2.37909
  127         25400         0.0621511           2.85232
  128         25600         0.0605842           2.93071
  129         25800         0.0571408           2.75447
  130         26000         0.0571442           1.00297
  131         26200         0.0542195           3.33735
  132         26400         0.0542276           3.03851
  133         26600         0.0536963            3.4085
  134         26800         0.0521856           3.51136
  135         27000           0.05171           3.54501
  136         27200         0.0507906            3.4608
  137         27400         0.0495069            3.6855
  138         27600         0.0577913           3.13552
  139         27800         0.0571473           3.17269
  140         28000         0.0571299           3.10393
  141         28200         0.0558993           3.00016
  142         28400         0.0638314            2.7443
  143         28600         0.0638312           2.74429
  144         28800         0.0629675           2.78451
  145         29000         0.0707804           2.17864
  146         29200           0.06628           2.34235
  147         29400         0.0734016           2.09196
  148         29600         0.0720549           2.13572
  149         29800         0.0684192           2.26196
  150         30000         0.0684192           2.26196

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  151         30200         0.0673239            2.3025
  152         30400         0.0662794           2.34233
  153         30600         0.0625396           2.48434
  154         30800         0.0625396           2.49634
  155         31000         0.0616993           2.53316
  156         31200         0.0553979            2.8396
  157         31400         0.0548117           2.87304
  158         31600         0.0521325           3.02963
  159         31800         0.0481618           1.00447
  160         32000         0.0459661           3.38726
  161         32200         0.0470241           3.36671
  162         32400         0.0501482           3.13446
  163         32600         0.0552845           2.82722
  164         32800         0.0525293            2.9848
  165         33000         0.0571606           2.72829
  166         33200         0.0607623           2.55494
  167         33400         0.0671921             2.251
  168         33600         0.0661499           2.34081
  169         33800         0.0624172           2.49371
  170         34000         0.0642154            2.4302
  171         34200         0.0624299           2.50678
  172         34400         0.0632962           2.46089
  173         34600         0.0624176            2.4937
  174         34800         0.0607731           2.56674
  175         35000         0.0592519           2.63776
  176         35200         0.0599981           2.60249
  177         35400         0.0585328           2.67256
  178         35600         0.0592519           2.63776
  179         35800         0.0578392           2.70692
  180         36000         0.0585326           2.67255

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  181         36200         0.0571697           2.74084
  182         36400         0.0558974           2.80746
  183         36600         0.0552924           2.84018
  184         36800         0.0592521           2.63777
  185         37000         0.0571698           2.74084
  186         37200         0.0535884           2.93616
  187         37400         0.0535886           2.93617
  188         37600         0.0515436           3.05947
  189         37800         0.0506091           3.08084
  190         38000          0.048073           3.30517
  191         38200         0.0455432            3.3104
  192         38400         0.0455431           3.48105
  193         38600          0.045543           3.48104
  194         38800         0.0455429           3.48103
  195         39000         0.0455429           3.48103
  196         39200         0.0458794           3.45441
  197         39400         0.0458794           3.45441
  198         39600         0.0455398            3.4808
  199         39800         0.0462186           3.42048
  200         40000         0.0455381           3.47381
  201         40200         0.0418352           3.19134
  202         40400          0.041835           3.19133
  203         40600          0.041835           3.19132
  204         40800          0.041835           3.19157
  205         41000         0.0418351           3.19154
  206         41200         0.0418351           3.19188
  207         41400          0.041835           3.19132
  208         41600          0.041833           3.19179
  209         41800         0.0418329           3.19145
  210         42000         0.0427775           3.11711

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  211         42200         0.0418331           3.19205
  212         42400         0.0418332           3.19233
  213         42600         0.0418335           3.19356
  214         42800         0.0418335           3.19369
  215         43000         0.0418309             3.192
  216         43200          0.041831            3.1923
  217         43400         0.0418315           3.19451
  218         43600           0.04183           3.19213
  219         43800         0.0418305           3.19451
  220         44000         0.0418299           3.19247
  221         44200         0.0418302           3.19355
  222         44400         0.0418305           3.19443
  223         44600         0.0418303           3.19372
  224         44800         0.0418305           3.19437
  225         45000         0.0418302           3.19362
  226         45200         0.0418305           3.19448
  227         45400         0.0419493           3.20112
  228         45600         0.0418725           3.19534
  229         45800         0.0418732           3.19827
  230         46000          0.041873           3.19758
  231         46200         0.0418731           3.19785
  232         46400         0.0419639           3.20386
  233         46600         0.0419637           3.20435
