Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              400           3.391           17.03        0
    2              590           3.391            24.1        0
    3              780           3.391           24.88        1
    4              970           3.391           26.68        2
    5             1160           3.391           25.92        3
    6             1350           3.391           25.14        0
    7             1540           3.391           21.15        1
    8             1730           3.391           18.03        2
    9             1920           3.391           15.44        3
   10             2110           3.391           17.72        4
   11             2300           3.391           11.77        5
   12             2490           3.391           6.805        6
   13             2680           3.391           5.636        7
   14             2870           3.391           4.869        8
   15             3060           3.391           4.097        9
   16             3250           3.391            3.66        0
   17             3440            3.39           3.598        0
   18             3630            3.39           3.543        1
   19             3820            3.39           3.496        0
   20             4010            3.39           3.539        1
   21             4200            3.39           3.502        0
   22             4390            3.39           3.502        1
   23             4580            3.39           3.513        0
   24             4770            3.39           3.506        1
   25             4960            3.39           3.506        0
   26             5150            3.39           3.513        0
   27             5340            3.39           3.729        0
   28             5530            3.39           4.233        0
   29             5720            3.39           4.952        0
   30             5910            3.39           10.89        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             6100            3.39           12.25        1
   32             6290            3.39           7.396        0
   33             6480            3.39           12.42        0
   34             6670            3.39           14.41        0
   35             6860            3.39           18.04        1
   36             7050            3.39           19.92        2
   37             7240            3.39           16.45        0
   38             7430            3.39           16.53        0
   39             7620            3.39           20.01        1
   40             7810            3.39           18.17        0
   41             8000            3.39           22.03        1
   42             8190            3.39           19.42        2
   43             8380            3.39           20.19        3
   44             8570            3.39           14.04        4
   45             8760            3.39           8.444        5
   46             8950            3.39           6.768        6
   47             9140            3.39           5.874        7
   48             9330            3.39           4.248        8
   49             9520            3.39           3.835        0
   50             9710            3.39           3.683        1
   51             9900            3.39           3.631        2
   52            10090            3.39           3.467        3
   53            10280            3.39            3.44        0
   54            10470            3.39           3.442        0
   55            10660            3.39           3.452        1
   56            10850            3.39            3.41        0
   57            11040            3.39           3.425        0
   58            11230            3.39           3.513        0
   59            11420            3.39           3.721        1
   60            11610           3.389            3.62        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            11800           3.389           3.713        0
   62            11990           3.389           4.152        0
   63            12180           3.389           5.337        0
   64            12370           3.389           9.249        1
   65            12560           3.389           7.303        0
   66            12750           3.389           8.759        1
   67            12940           3.389           6.871        0
   68            13130           3.389           9.946        1
   69            13320           3.389           9.336        2
   70            13510           3.389           8.015        3
   71            13700           3.389           6.833        4
   72            13890           3.389           5.373        5
   73            14080           3.389           4.899        6
   74            14270           3.389            4.75        7
   75            14460           3.389           3.472        0
   76            14650           3.389           3.465        0
   77            14840           3.389           3.469        1
   78            15030           3.389           3.449        0
   79            15220           3.389           3.427        1
   80            15410           3.389           3.413        2
   81            15600           3.389           3.398        0
   82            15790           3.389           3.401        1
   83            15980           3.389           3.398        0
   84            16170           3.389             3.4        1
   85            16360           3.389           3.394        0
   86            16550           3.389           3.399        0
   87            16740           3.389            3.41        0
   88            16930           3.389           3.488        0
   89            17120           3.389           3.607        0
   90            17310           3.389           3.861        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            17500           3.389           5.331        0
   92            17690           3.389           9.541        0
   93            17880           3.389           13.94        0
   94            18070           3.389           14.74        1
   95            18260           3.389           13.63        0
   96            18450           3.389           15.42        1
   97            18640           3.389           18.62        2
   98            18830           3.389           11.25        3
