Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              400           3.449           18.03        0
    2              590           3.449           28.26        0
    3              780           3.449           27.61        1
    4              970           3.449            31.5        2
    5             1160           3.449            33.3        0
    6             1350           3.449           33.35        1
    7             1540           3.449           27.08        0
    8             1730           3.449           27.49        1
    9             1920           3.449           27.48        2
   10             2110           3.449           19.64        0
   11             2300           3.449           23.38        1
   12             2490           3.449           23.16        2
   13             2680           3.449           15.27        3
   14             2870           3.449           13.08        4
   15             3060           3.449           10.38        5
   16             3250           3.449           7.699        6
   17             3440           3.449           6.832        7
   18             3630           3.449           5.243        8
   19             3820           3.449           5.328        0
   20             4010           3.449           5.252        0
   21             4200           3.449           4.834        1
   22             4390           3.449           4.333        0
   23             4580           3.448           4.253        0
   24             4770           3.448           4.906        0
   25             4960           3.448           5.447        0
   26             5150           3.448           10.34        0
   27             5340           3.448           8.949        0
   28             5530           3.448           10.29        1
   29             5720           3.448           10.29        2
   30             5910           3.448           11.81        3

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             6100           3.448           9.909        4
   32             6290           3.448            8.05        5
   33             6480           3.448           6.731        6
   34             6670           3.448           5.148        7
   35             6860           3.448           4.512        0
   36             7050           3.448           4.303        1
   37             7240           3.448           4.902        2
   38             7430           3.448           4.295        0
   39             7620           3.448           4.511        0
   40             7810           3.448           3.769        0
   41             8000           3.448           4.495        1
   42             8190           3.448           4.368        0
   43             8380           3.448           4.172        1
   44             8570           3.448           3.884        2
   45             8760           3.448           3.864        3
   46             8950           3.448           4.071        4
   47             9140           3.448           3.825        0
   48             9330           3.448           4.091        1
   49             9520           3.447           4.022        0
   50             9710           3.447           4.007        1
   51             9900           3.447           4.737        0
   52            10090           3.447           3.976        1
   53            10280           3.447           4.612        2
   54            10470           3.447           4.406        0
   55            10660           3.447           3.923        1
   56            10850           3.447           3.969        0
   57            11040           3.447           3.783        0
   58            11230           3.447           4.017        1
   59            11420           3.447           4.087        0
   60            11610           3.447           4.659        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            11800           3.447           3.916        0
   62            11990           3.447           3.855        0
   63            12180           3.447           3.808        0
   64            12370           3.447           4.461        0
   65            12560           3.447           5.799        0
   66            12750           3.447           7.652        1
   67            12940           3.447           7.161        0
   68            13130           3.447           7.868        0
   69            13320           3.447           10.63        0
   70            13510           3.447           13.38        0
   71            13700           3.447           16.35        0
   72            13890           3.447           30.62        1
   73            14080           3.447              22        2
   74            14270           3.447           22.28        0
   75            14460           3.447           20.01        0
   76            14650           3.447           26.96        1
   77            14840           3.447           27.32        2
   78            15030           3.447           23.62        3
   79            15220           3.447           19.33        4
   80            15410           3.447           13.03        5
   81            15600           3.447           8.943        6
   82            15790           3.447           7.302        7
   83            15980           3.447           6.351        8
   84            16170           3.446           5.419        0
   85            16360           3.446           5.154        1
   86            16550           3.446           4.651        2
   87            16740           3.446           4.463        3
   88            16930           3.446           4.691        0
   89            17120           3.446            4.12        0
   90            17310           3.446           4.089        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            17500           3.446            3.95        0
   92            17690           3.446            3.76        1
   93            17880           3.446           3.799        2
   94            18070           3.446           3.774        0
   95            18260           3.446           3.862        0
   96            18450           3.446           3.976        0
   97            18640           3.446           4.747        0
   98            18830           3.446            4.55        1
   99            19020           3.446           4.184        2
  100            19210           3.446           4.047        3
  101            19400           3.446           4.002        0
  102            19590           3.446           3.799        0
  103            19780           3.446           3.991        0
  104            19970           3.446           4.092        0
  105            20160           3.446           5.498        1
  106            20350           3.446           5.325        2
  107            20540           3.446           4.941        0
  108            20730           3.446           5.156        0
  109            20920           3.446           5.678        1
  110            21110           3.446           5.443        0
  111            21300           3.446           5.558        1
  112            21490           3.446           5.453        0
  113            21680           3.446            6.37        0
  114            21870           3.446           8.009        0
  115            22060           3.446           10.86        0
  116            22250           3.446           13.03        1
  117            22440           3.446           13.22        2
  118            22630           3.446           13.09        3
  119            22820           3.446           9.959        4
  120            23010           3.446           7.016        5

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            23200           3.446           6.298        0
