Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              400           8.557           158.1        0
    2              590            6.26           141.5        0
    3              780            6.26           127.5        1
    4              970            6.26           134.7        2
    5             1160            6.26           128.6        3
    6             1350            6.26           109.8        4
    7             1540            6.26             111        5
    8             1730            6.26           105.3        6
    9             1920            6.25           98.21        0
   10             2110           5.888           86.66        0
   11             2300           5.683           80.65        0
   12             2490           5.677            72.3        0
   13             2680           5.672           55.05        0
   14             2870           5.629           53.75        0
   15             3060           5.629           46.95        1
   16             3250           5.592           43.47        0
   17             3440           5.528           43.62        0
   18             3630           5.528           45.19        0
   19             3820           5.528           42.59        1
   20             4010           5.528           42.12        2
   21             4200           5.528           37.17        3
   22             4390           5.528            25.1        4
   23             4580           5.528           19.39        5
   24             4770           5.521           19.18        0
   25             4960           5.521           19.81        1
   26             5150           5.521            14.1        2
   27             5340           5.517           13.05        0
   28             5530           5.517           12.26        0
   29             5720           5.517           12.88        1
   30             5910           5.517           11.64        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             6100           5.517           9.347        0
   32             6290           5.516           11.54        0
   33             6480           5.504           10.26        0
   34             6670           5.501           12.23        0
   35             6860           5.484           14.87        0
   36             7050           5.469           35.03        0
   37             7240           5.469           33.89        1
   38             7430           5.468           40.06        0
   39             7620           5.468           37.76        1
   40             7810           5.457            38.6        0
   41             8000           5.457           40.62        1
   42             8190           5.457           29.28        2
   43             8380           5.457           21.81        0
   44             8570           5.457           36.47        1
   45             8760           5.457           28.39        2
   46             8950           5.457           19.45        3
   47             9140           5.457           21.13        4
   48             9330           5.457           16.03        5
   49             9520           5.436           10.88        0
   50             9710           5.434           10.38        0
   51             9900           5.431           11.52        0
   52            10090           5.423           16.43        0
   53            10280           5.416           18.93        0
   54            10470           5.391              34        0
   55            10660           5.382           40.15        0
   56            10850            5.37           36.15        0
   57            11040           5.358           33.28        0
   58            11230           5.353           38.17        0
   59            11420           5.334           38.06        0
   60            11610           5.322           36.63        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            11800           5.307           48.42        0
   62            11990           5.304           46.59        0
   63            12180           5.304           57.18        1
   64            12370           5.304           49.46        2
   65            12560           5.304           37.99        3
   66            12750           5.304           23.41        4
   67            12940           5.304           26.57        5
   68            13130           5.282           18.45        0
   69            13320           5.282           16.85        1
   70            13510           5.273           15.74        0
   71            13700           5.262           17.84        0
   72            13890           5.259           17.84        0
   73            14080           5.259           23.79        1
   74            14270           5.243           21.34        0
   75            14460           5.243           25.86        1
   76            14650           5.242           20.42        0
   77            14840           5.242           20.92        1
   78            15030            5.24           17.68        0
   79            15220            5.24           18.82        1
   80            15410           5.227           18.91        0
   81            15600           5.227           21.05        1
   82            15790           5.227           18.12        2
   83            15980           5.227           19.22        3
   84            16170           5.227           19.12        4
   85            16360           5.191           14.57        0
   86            16550           5.191           14.93        1
   87            16740           5.152           13.45        0
   88            16930           5.152           14.57        1
   89            17120           5.152            14.2        2
   90            17310           5.152           14.97        3

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            17500           5.117           14.78        0
   92            17690           5.095           14.38        0
   93            17880           5.095           12.06        1
   94            18070           5.095           11.09        2
   95            18260           5.086           8.436        0
   96            18450           5.085           7.666        0
   97            18640           5.084            8.03        0
   98            18830           5.071           10.68        0
   99            19020            5.06           11.43        0
  100            19210            5.06           16.41        1
  101            19400           5.045           11.35        0
  102            19590            5.03           13.39        0
  103            19780            5.03           15.82        1
  104            19970           5.014           15.65        0
  105            20160           5.014           18.54        1
  106            20350           5.012            15.6        0
  107            20540            5.01           17.47        0
  108            20730            5.01           27.51        1
  109            20920           5.007           29.44        0
  110            21110           4.998           30.83        0
  111            21300           4.998           33.78        1
  112            21490           4.985           43.19        0
  113            21680           4.985           40.77        1
  114            21870           4.985           37.46        2
  115            22060           4.983           33.92        0
  116            22250            4.98           34.62        0
  117            22440            4.98            33.1        1
  118            22630            4.98           39.56        0
  119            22820           4.975           37.25        0
  120            23010           4.973           38.37        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            23200           4.972           32.94        0
  122            23390           4.972           36.17        1
  123            23580           4.968           34.81        0
  124            23770           4.968           41.99        1
  125            23960           4.968           40.46        2
  126            24150           4.968           30.99        3
  127            24340           4.968           23.78        4
  128            24530           4.968           19.46        5
  129            24720           4.843           13.92        0
  130            24910           4.843           15.19        1
  131            25100           4.843           10.34        2
  132            25290           4.843           10.43        3
  133            25480           4.843           8.665        4
  134            25670           4.843           8.076        5
  135            25860           4.843           7.562        6
  136            26050           4.843           7.627        7
  137            26240           4.837           7.082        0
  138            26430           4.825           7.929        0
  139            26620           4.813           8.136        0
  140            26810           4.811           8.236        0
  141            27000            4.79           8.343        0
  142            27190            4.79           8.447        1
  143            27380           4.768           7.912        0
  144            27570           4.768           7.926        0
  145            27760           4.764           9.648        0
  146            27950            4.71           10.68        0
  147            28140           4.707           10.96        0
  148            28330           4.706           11.61        0
  149            28520             4.7           24.95        0
  150            28710             4.7           31.97        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            28900           4.699           35.57        0
  152            29090           4.699           34.86        1
  153            29280            4.69           33.28        0
  154            29470            4.69           32.33        1
  155            29660            4.69           36.98        0
  156            29850           4.689           32.88        0
  157            30040           4.689           38.68        1
  158            30230           4.689           33.24        0
  159            30420           4.689           28.82        0
  160            30610           4.689           29.95        1
  161            30800           4.689           30.71        2
  162            30990           4.689           25.36        3
  163            31180           4.689           21.29        4
  164            31370           4.689            16.2        5
  165            31560           4.689            13.5        6
  166            31750           4.688           12.41        0
  167            31940           4.687           11.62        0
  168            32130           4.686           11.46        0
  169            32320           4.686           16.91        0
  170            32510           4.686           19.24        1
  171            32700           4.684           19.42        0
  172            32890           4.684           20.36        1
  173            33080           4.683           18.82        0
  174            33270           4.683           20.93        0
  175            33460           4.682           29.08        0
  176            33650           4.682           29.78        0
  177            33840           4.681           33.71        0
  178            34030           4.681           31.45        1
  179            34220           4.681            41.8        2
  180            34410           4.681           32.27        3

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  181            34600           4.681           28.07        4
  182            34790           4.681           24.02        5
  183            34980            4.68           18.52        0
  184            35170           4.679           14.88        0
  185            35360           4.677           17.88        0
  186            35550           4.677           17.52        1
  187            35740           4.676           17.46        0
  188            35930           4.675           16.68        0
  189            36120           4.675           28.11        1
  190            36310           4.675           27.33        2
  191            36500           4.675           24.04        3
  192            36690           4.675           19.01        4
  193            36880           4.656           12.29        0
  194            37070           4.643           14.33        0
  195            37260           4.643           12.61        1
  196            37450           4.643           14.36        2
  197            37640           4.612           11.54        0
  198            37830           4.612           10.92        1
  199            38020           4.607            9.79        0
  200            38210           4.605           13.89        0
  201            38400           4.605           15.55        1
  202            38590           4.582           16.63        0
  203            38780           4.582           18.52        1
  204            38970           4.582           17.09        2
  205            39160           4.563           15.83        0
  206            39350           4.563           14.72        1
