Multi-objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverintermediate
SelectionFcn:      @selectiontournament
MutationFcn:       @mutationadaptfeasible

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
    1           200                 1                 1
    2           400         0.0751465          0.986881
    3           600          0.185707          0.133886
    4           800          0.234006          0.672302
    5          1000          0.320659          0.928026
    6          1200          0.369954          0.616314
    7          1400          0.383267          0.849901
    8          1600          0.343651          0.836691
    9          1800          0.230556          0.998514
   10          2000          0.212986           0.76946
   11          2200          0.213935          0.683621
   12          2400          0.246208          0.584781
   13          2600          0.246208           0.37793
   14          2800          0.231614          0.440423
   15          3000          0.219936          0.702353
   16          3200          0.219936          0.466283
   17          3400          0.219936          0.466283
   18          3600          0.211061          0.596623
   19          3800          0.206845          0.648209
   20          4000          0.206845          0.648209
   21          4200          0.196959          0.754389
   22          4400          0.187198          0.847367
   23          4600          0.178496           0.93778
   24          4800          0.178496           0.93778
   25          5000          0.293942          0.998957
   26          5200          0.213375          0.500568
   27          5400          0.213375          0.500568
   28          5600           0.20687          0.767409
   29          5800           0.20687          0.537175
   30          6000          0.245267           0.71649

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
   31          6200          0.245267           0.71649
   32          6400          0.245267           0.71649
   33          6600         0.0420381          0.996947
   34          6800         0.0420381          0.272464
   35          7000         0.0420381          0.272464
   36          7200         0.0420381          0.272464
   37          7400         0.0419324           0.27243
   38          7600          0.121366           0.98746
   39          7800          0.117609           0.76189
   40          8000          0.113452          0.808454
   41          8200          0.128996          0.687835
   42          8400          0.130535          0.609038
   43          8600          0.133969          0.535766
   44          8800          0.138614          0.706636
   45          9000          0.138614          0.670162
   46          9200          0.129515          0.683834
   47          9400          0.114483          0.831137
   48          9600           0.11004          0.842971
   49          9800          0.114685          0.886674
   50         10000          0.126835          0.684567
   51         10200          0.126733          0.684019
   52         10400          0.126733          0.684019
   53         10600          0.122441          0.743458
   54         10800          0.117931           0.78466
   55         11000          0.126604          0.673888
   56         11200          0.128646          0.679137
   57         11400          0.120801          0.792381
   58         11600          0.149998          0.594559
   59         11800           0.13823          0.435576
   60         12000           0.14688          0.605664

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
   61         12200          0.143226           0.66135
   62         12400          0.140916           0.79528
   63         12600           0.12612           0.95757
   64         12800         0.0187814          0.998168
   65         13000         0.0178095          0.683706
   66         13200         0.0180253           0.65557
   67         13400         0.0158448          0.610906
   68         13600         0.0169595          0.699292
   69         13800         0.0256785          0.845757
   70         14000         0.0257317          0.855228
   71         14200         0.0221533           1.07383
   72         14400         0.0190464           1.21699
   73         14600         0.0193497           1.13483
   74         14800          0.019749           1.16942
   75         15000          0.016583           1.19118
   76         15200         0.0150036           1.42445
   77         15400        0.00161996          0.993466
   78         15600        0.00153258          0.314827
   79         15800        0.00182936          0.347957
   80         16000         0.0014987          0.364879
   81         16200        0.00146431          0.338428
   82         16400        0.00143912          0.354416
   83         16600        0.00114218          0.297712
   84         16800         0.0009511          0.389971
   85         17000       0.000899722          0.234935
   86         17200       0.000947198          0.436108
   87         17400       0.000848697          0.227203
   88         17600       0.000898628          0.230573
   89         17800       0.000907067          0.235658
   90         18000       0.000984317          0.259642

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
   91         18200       0.000832387          0.221601
   92         18400        0.00080083          0.209173
   93         18600       0.000767969          0.202807
   94         18800       0.000723957          0.192729
   95         19000       0.000632839          0.172888
   96         19200       0.000643643          0.171885
   97         19400       0.000708446          0.185217
   98         19600       0.000632731          0.162485
   99         19800       0.000684678          0.180285
  100         20000        0.00052517          0.148418
  101         20200       0.000582563          0.158766
  102         20400       0.000640997          0.172753
  103         20600       0.000637743          0.170043
  104         20800       0.000900264          0.648318
  105         21000       0.000906261          0.233112
  106         21200       0.000905496          0.228097
  107         21400       0.000936832          0.248458
  108         21600        0.00086716          0.234793
  109         21800        0.00101776          0.774368
  110         22000        0.00164498          0.409067
  111         22200        0.00197975          0.463617
  112         22400        0.00144986          0.351868
  113         22600        0.00130928          0.322423
  114         22800        0.00131634          0.312252
  115         23000       0.000953509          0.233649
  116         23200         0.0013042          0.670021
  117         23400        0.00111729          0.246434
  118         23600       0.000921896          0.206738
  119         23800        0.00119578          0.270793
  120         24000        0.00124875          0.274525

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  121         24200        0.00166241          0.370238
  122         24400        0.00252791          0.832375
  123         24600        0.00254081          0.692655
  124         24800        0.00288974           0.44393
  125         25000        0.00325408          0.837923
  126         25200        0.00309803          0.366534
  127         25400        0.00238227          0.271786
  128         25600        0.00190852          0.266122
  129         25800        0.00173005          0.586071
  130         26000        0.00140116          0.261709
  131         26200           0.00122           0.26858
  132         26400        0.00115344          0.299272
  133         26600        0.00114448          0.283449
  134         26800        0.00211207          0.875287
  135         27000        0.00621523          0.787869
  136         27200        0.00625625          0.769743
  137         27400        0.00569761          0.828467
  138         27600        0.00544719          0.852981
  139         27800        0.00532837          0.854272
  140         28000        0.00550498          0.835742
  141         28200        0.00466165          0.980097
  142         28400        0.00859641          0.975024
  143         28600        0.00891252           1.02896
  144         28800        0.00871059           1.30146
  145         29000        0.00851427           1.33908
  146         29200        0.00817022           1.41347
  147         29400        0.00771913           1.51754
  148         29600        0.00819268           1.41736
  149         29800        0.00773865           1.52137
  150         30000        0.00735453           1.61936

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  151         30200        0.00682325           1.77066
  152         30400        0.00596771           2.06486
  153         30600        0.00508446           2.43896
  154         30800        0.00483692           2.54844
  155         31000        0.00483319           2.54647
  156         31200        0.00482873           2.54412
  157         31400        0.00482873           2.54412
  158         31600        0.00483484           2.54734
  159         31800         0.0048292           2.54437
  160         32000        0.00450272           2.01501
  161         32200        0.00450272           2.01501
  162         32400        0.00826061          0.882967
  163         32600        0.00826057          0.882963
  164         32800        0.00961627          0.905073
  165         33000        0.00785189            0.7852
  166         33200        0.00812909          0.717283
  167         33400        0.00829673          0.732075
  168         33600        0.00814607            0.7667
  169         33800        0.00615582          0.688013
  170         34000        0.00630476          0.630485
  171         34200        0.00607797          0.643558
  172         34400        0.00737472          0.400363
  173         34600        0.00641985          0.418229
  174         34800        0.00711869          0.774429
  175         35000        0.00695117          0.463327
  176         35200        0.00853496          0.747687
  177         35400        0.00759393          0.458803
  178         35600        0.00531563          0.340046
  179         35800        0.00456306          0.376197
  180         36000        0.00464617          0.414969

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  181         36200        0.00299343          0.308487
  182         36400        0.00265155          0.273255
  183         36600        0.00240828          0.289549
  184         36800        0.00277677          0.596405
  185         37000         0.0033676          0.357883
  186         37200        0.00322885          0.311943
  187         37400        0.00326459          0.311724
  188         37600        0.00333451          0.362335
  189         37800        0.00332212          0.344738
  190         38000        0.00627835          0.881794
  191         38200        0.00328467           0.92005
  192         38400        0.00329773          0.413455
  193         38600        0.00349326          0.733537
  194         38800        0.00345481          0.457052
  195         39000         0.0036096          0.491172
  196         39200        0.00369531           0.53077
  197         39400        0.00367125          0.541191
  198         39600        0.00365277          0.497047
  199         39800         0.0036067          0.490778
  200         40000        0.00373264          0.550241
  201         40200        0.00341247          0.541739
  202         40400        0.00595017          0.968897
  203         40600        0.00612988          0.854992
  204         40800        0.00680045          0.726527
  205         41000        0.00663181          0.747873
  206         41200        0.00582432          0.922461
  207         41400        0.00574112          0.688562
  208         41600        0.00680567           0.77438
  209         41800        0.00592367          0.747732
  210         42000        0.00621936          0.672906

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  211         42200        0.00571663          0.660537
  212         42400        0.00560889          0.696695
  213         42600        0.00544402          0.676216
  214         42800        0.00511252           0.63504
  215         43000        0.00494782          0.671752
  216         43200        0.00541096          0.575734
  217         43400        0.00625279          0.647324
  218         43600        0.00640925          0.552934
  219         43800        0.00617429          0.590358
  220         44000        0.00616579          0.655586
  221         44200        0.00605534           0.51572
  222         44400        0.00673405          0.738508
  223         44600        0.00668639          0.567067
  224         44800         0.0070491          0.579147
  225         45000        0.00597552          0.784652
  226         45200         0.0061328          0.748814
  227         45400        0.00527915          0.755204
  228         45600        0.00503407          0.562766
  229         45800        0.00539665          0.771642
  230         46000        0.00542355          0.583387
  231         46200        0.00531449          0.624833
  232         46400        0.00527348          0.830378
  233         46600        0.00497263          0.698543
  234         46800        0.00634418          0.939608
  235         47000        0.00716356          0.854644
  236         47200        0.00759779          0.784428
  237         47400        0.00801741          0.789113
  238         47600        0.00774235          0.845171
  239         47800        0.00828645          0.886421
  240         48000        0.00832726          0.880946

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  241         48200        0.00752382          0.741603
  242         48400         0.0081669          0.728324
  243         48600        0.00761337          0.786165
  244         48800        0.00681817          0.982667
  245         49000        0.00690422          0.977133
  246         49200        0.00674047           1.01615
  247         49400        0.00714919           1.10063
  248         49600        0.00686734           1.05724
  249         49800        0.00697071           1.06186
  250         50000         0.0068979           1.06318
  251         50200        0.00692542             1.006
  252         50400        0.00688074           1.00369
  253         50600        0.00671061           1.02091
  254         50800        0.00650531           1.03276
  255         51000        0.00656433           1.06354
  256         51200        0.00676058           1.06313
  257         51400        0.00661894           1.07239
  258         51600         0.0064212           1.01604
  259         51800        0.00637199           1.01299
  260         52000         0.0063391           1.00776
  261         52200        0.00678933           1.01577
  262         52400        0.00675291           1.02991
  263         52600        0.00666889           1.00853
  264         52800        0.00681623            1.0065
  265         53000        0.00681085          0.956267
  266         53200        0.00663287          0.994394
  267         53400        0.00654211            1.0006
  268         53600        0.00655438          0.989727
  269         53800        0.00655196          0.996634
  270         54000        0.00651862           1.00904

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  271         54200        0.00651919            1.0336
  272         54400        0.00653889           1.04748
  273         54600        0.00651844           1.04734
  274         54800        0.00652757           1.01404
  275         55000        0.00653355           1.01796
  276         55200        0.00646039          0.983899
  277         55400        0.00649487          0.994965
  278         55600         0.0065096           1.01293
  279         55800        0.00650185            1.0145
  280         56000        0.00650053           1.02891
  281         56200        0.00650125           1.02255
  282         56400        0.00649048          0.999202
  283         56600        0.00649671           1.02997
  284         56800         0.0064905           1.00826
  285         57000        0.00648635           1.01284
  286         57200        0.00648484           1.00023
  287         57400        0.00662681           0.99326
  288         57600        0.00664616           1.00502
  289         57800        0.00663135          0.981977
  290         58000        0.00664317           1.00195
  291         58200        0.00669593           1.04179
  292         58400        0.00667754           1.01375
  293         58600        0.00667965           0.98617
  294         58800          0.006663           1.02082
  295         59000         0.0066379           1.01025
  296         59200          0.006637           1.01633
  297         59400        0.00664451            1.0341
  298         59600        0.00644295          0.996594
  299         59800        0.00645657           1.01329
  300         60000        0.00646693           1.03371

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  301         60200         0.0064485           1.00023
  302         60400        0.00646975           1.00823
  303         60600        0.00646137           0.99068
  304         60800        0.00647974           1.01562
  305         61000        0.00642882           1.01899
  306         61200        0.00647308           1.02317
  307         61400        0.00653069           1.02944
  308         61600        0.00653259           1.02442
  309         61800        0.00651811          0.994817
  310         62000        0.00652547           1.01261
  311         62200        0.00653368           1.02221
  312         62400        0.00651377          0.985294
  313         62600        0.00647323           1.00216
  314         62800        0.00647413           1.00275
  315         63000        0.00647066           1.00743
  316         63200        0.00646668          0.989813
  317         63400        0.00645985            1.0103
  318         63600        0.00646129           1.03649
  319         63800        0.00645705           1.02179
  320         64000        0.00644251           1.00072
  321         64200        0.00645384           1.01794
  322         64400        0.00646643           1.05453
  323         64600        0.00645946           1.02797
  324         64800        0.00646863            1.0503
  325         65000        0.00646297           1.03651
  326         65200        0.00647028           1.05683
  327         65400        0.00646926           1.04862
  328         65600        0.00645195           1.02569
  329         65800        0.00645668           1.03706
  330         66000        0.00646333           1.03548

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  331         66200        0.00644141           1.00003
  332         66400        0.00645116           1.02244
  333         66600        0.00644607           1.01376
  334         66800        0.00646002           1.04278
  335         67000        0.00646346           1.02976
  336         67200        0.00645448           1.01767
  337         67400        0.00644795           1.01567
  338         67600        0.00646249           1.03571
  339         67800        0.00646111          0.996189
  340         68000        0.00645949           1.01871
  341         68200         0.0064603           1.02504
  342         68400        0.00649839           1.01535
  343         68600        0.00649306           1.00984
  344         68800        0.00649016            1.0159
  345         69000        0.00650449           1.02581
  346         69200         0.0064508            1.0263
  347         69400         0.0064634           1.03533
  348         69600        0.00643609           1.00376
  349         69800        0.00643387           1.00466
  350         70000        0.00644616           1.02051
  351         70200         0.0065052           1.03791
  352         70400        0.00645019           1.00436
  353         70600        0.00646079            1.0329
  354         70800         0.0064821           1.06928
  355         71000        0.00647652           1.07366
  356         71200          0.006473           1.05738
  357         71400        0.00645885           1.02942
  358         71600        0.00645848           1.02522
  359         71800        0.00547999          0.876322
  360         72000        0.00547425           0.87607

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  361         72200        0.00548265          0.884262
  362         72400        0.00546677           0.85392
  363         72600        0.00546911          0.863732
  364         72800        0.00547265          0.863526
  365         73000        0.00546815          0.856198
  366         73200        0.00547029           0.86703
  367         73400        0.00546996          0.861585
  368         73600          0.005474          0.873789
  369         73800        0.00547658          0.914434
  370         74000        0.00547916          0.877712
  371         74200        0.00547084          0.880086
  372         74400        0.00548332          0.897092
  373         74600        0.00548147          0.889355
  374         74800        0.00547368          0.877829
  375         75000        0.00548819           0.89294
  376         75200         0.0054841           0.88889
  377         75400        0.00547359          0.868287
  378         75600        0.00546545          0.870701
  379         75800        0.00546339           0.87085
  380         76000        0.00545628          0.852399
  381         76200        0.00545496          0.850965
  382         76400        0.00547558           0.88761
  383         76600        0.00546252          0.848943
  384         76800        0.00547452          0.848823
  385         77000        0.00547441          0.843872
  386         77200        0.00548226          0.861157
  387         77400        0.00601885          0.978634
  388         77600        0.00658066          0.965176
  389         77800        0.00737423          0.818832
  390         78000          0.008001          0.631772

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  391         78200        0.00777789          0.536859
  392         78400        0.00754018          0.576214
  393         78600        0.00734298          0.662651
  394         78800        0.00669323          0.818953
  395         79000        0.00663332          0.812897
  396         79200        0.00508378          0.631824
  397         79400          0.004905          0.682759
  398         79600        0.00477434          0.688306
  399         79800        0.00451562          0.869849
  400         80000        0.00452709           0.70701
  401         80200        0.00440476          0.833301
  402         80400         0.0044053          0.728769
  403         80600        0.00440441          0.730897
  404         80800        0.00438866           0.73627
  405         81000        0.00437367          0.733436
  406         81200          0.004379          0.728175
  407         81400        0.00437865          0.717877
  408         81600        0.00439095          0.714509
  409         81800        0.00439541          0.732656
  410         82000         0.0043996          0.863455
  411         82200         0.0049072          0.736538
  412         82400        0.00495031          0.811765
  413         82600        0.00515087          0.705242
  414         82800        0.00517069          0.670029
  415         83000        0.00523404          0.665442
  416         83200        0.00566236          0.712538
  417         83400        0.00609363          0.522573
  418         83600        0.00591749          0.550965
  419         83800        0.00572955          0.495164
  420         84000        0.00556936          0.546363

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  421         84200        0.00525455          0.576846
  422         84400        0.00522271          0.609947
  423         84600        0.00532481          0.626704
  424         84800        0.00534905          0.571567
